Distance_x;Distance_y;Current_velocity_x;Height;Hole_width;Action;Value
-5;7;20;6;15;MOVE_LEFT;-5,40328857954797
-5;7;20;6;15;MOVE_RIGHT;-5,22691427497068
-5;7;20;6;15;MORPH_UP;-5,32517871327494
-5;7;20;6;15;MORPH_DOWN;-5,33622691562482
-5;7;20;6;15;NO_ACTION;-5,58840217532008
-5;9;10;8;15;MOVE_LEFT;-4,71899454487543
-5;9;10;8;15;MOVE_RIGHT;-4,68995375899191
-5;9;10;8;15;MORPH_UP;-4,69224517797427
-5;9;10;8;15;MORPH_DOWN;-4,63756223415429
-5;9;10;8;15;NO_ACTION;-4,68350823664154
-5;9;20;8;15;MOVE_LEFT;-4,73549540022944
-5;9;20;8;15;MOVE_RIGHT;-4,66790207264896
-5;9;20;8;15;MORPH_UP;-4,64585475502813
-5;9;20;8;15;MORPH_DOWN;-4,78387180930516
-5;9;20;8;15;NO_ACTION;-4,69740645640274
-4;9;0;8;15;MOVE_LEFT;-4,01128701648681
-4;9;0;8;15;MOVE_RIGHT;-3,97835261497597
-4;9;0;8;15;MORPH_UP;-4,0066420130406
-4;9;0;8;15;MORPH_DOWN;-3,99497423299731
-4;9;0;8;15;NO_ACTION;-4,12636560885072
-4;7;0;7;15;MOVE_LEFT;-0,577425331976423
-4;7;0;7;15;MOVE_RIGHT;-0,782374966256656
-4;7;0;7;15;MORPH_UP;-0,523308427117023
-4;7;0;7;15;MORPH_DOWN;-0,652565600037258
-4;7;0;7;15;NO_ACTION;-0,406439330831011
-4;7;-20;6;15;MOVE_LEFT;-2,94849058164444
-4;7;-20;6;15;MOVE_RIGHT;-3,03844059694751
-4;7;-20;6;15;MORPH_UP;-3,02686290535627
-4;7;-20;6;15;MORPH_DOWN;-3,08074693043552
-4;7;-20;6;15;NO_ACTION;-3,1011212017945
-5;7;0;6;15;MOVE_LEFT;-5,02512990044801
-5;7;0;6;15;MOVE_RIGHT;-5,09593145943002
-5;7;0;6;15;MORPH_UP;-5,01827105886678
-5;7;0;6;15;MORPH_DOWN;-5,03947093708701
-5;7;0;6;15;NO_ACTION;-5,41082023160935
-5;10;0;9;15;MOVE_LEFT;-4,11547041193885
-5;10;0;9;15;MOVE_RIGHT;-4,25121971946426
-5;10;0;9;15;MORPH_UP;-4,10305301848606
-5;10;0;9;15;MORPH_DOWN;-4,10354352920785
-5;10;0;9;15;NO_ACTION;-4,07111281466048
-5;11;-10;10;15;MOVE_LEFT;-3,96687113983721
-5;11;-10;10;15;MOVE_RIGHT;-4,06112261284692
-5;11;-10;10;15;MORPH_UP;-4,25353383040569
-5;11;-10;10;15;MORPH_DOWN;-4,15795271102184
-5;11;-10;10;15;NO_ACTION;-4,28404271587561
-5;9;-10;8;15;MOVE_LEFT;-4,42743202012557
-5;9;-10;8;15;MOVE_RIGHT;-4,45793310353418
-5;9;-10;8;15;MORPH_UP;-4,33679499842469
-5;9;-10;8;15;MORPH_DOWN;-4,43724460037397
-5;9;-10;8;15;NO_ACTION;-4,33693580643291
-4;9;40;8;15;MOVE_LEFT;-3,55275486797035
-4;9;40;8;15;MOVE_RIGHT;-3,48933545393212
-4;9;40;8;15;MORPH_UP;-3,54267454798807
-4;9;40;8;15;MORPH_DOWN;-3,51848872202849
-4;9;40;8;15;NO_ACTION;-3,57608755826819
-4;9;10;8;15;MOVE_LEFT;-3,89516620895435
-4;9;10;8;15;MOVE_RIGHT;-3,78049605269908
-4;9;10;8;15;MORPH_UP;-3,93003282114421
