Humano;;;;;;;;
World: ;Circle2022.1;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Óptimo;Optimum Score
1;10;5;5;16,6;120;2362;10;2417
2;10;2;2;7;120;1541;6;1550
3;10;4;4;27,4;120;1972;13;2092
4;10;2;2;14,7;120;1477;13;1492
5;10;2;2;7,6;120;1537;6;1550
6;10;3,8;4;25,7;120;1926;12;2100
7;10;5;5;26;120;2283;19;2342
8;10;5;5;24,7;120;2294;16;2367
9;10;4,9;5;37,2;120;2160;26;2283
10;10;3;3;41,7;120;1552;18;1750
;;;;;;19104;;19942
;;;;;;;;
;;;Vcollected;300;;;;
;;;Vcompleted;1000;;;;
