Distance;Current_Velocity;Target_Velocity;Move;Value
24;-200;100;ROLL_LEFT;-4,64995698810658
24;-200;100;ROLL_RIGHT;-9,49216156244863
24;-200;100;NO_ACTION;2,97008356437447
2;-200;100;ROLL_LEFT;74,1845126866771
2;-200;100;ROLL_RIGHT;66,9271014421588
2;-200;100;NO_ACTION;66,1575897899221
1;200;-100;ROLL_LEFT;84,6109459566852
1;200;-100;ROLL_RIGHT;81,6885957234625
1;200;-100;NO_ACTION;71,820622850787
3;200;-100;ROLL_LEFT;97,6027168208742
3;200;-100;ROLL_RIGHT;57,3007062273004
3;200;-100;NO_ACTION;60,7363885592009
5;200;-100;ROLL_LEFT;90,4343609934775
5;200;-100;ROLL_RIGHT;41,3228055466909
5;200;-100;NO_ACTION;56,3573709506332
8;180;-100;ROLL_LEFT;93,3446476891901
8;180;-100;ROLL_RIGHT;58,7512879766913
8;180;-100;NO_ACTION;68,6932635688079
10;180;-100;ROLL_LEFT;84,730552740371
10;180;-100;ROLL_RIGHT;49,232204738028
10;180;-100;NO_ACTION;53,269590528379
12;180;-100;ROLL_LEFT;71,0502274487219
12;180;-100;ROLL_RIGHT;19,1409452819971
12;180;-100;NO_ACTION;26,2136266832739
14;160;-100;ROLL_LEFT;73,360184981243
14;160;-100;ROLL_RIGHT;25,5495644085895
14;160;-100;NO_ACTION;40,4360826147505
19;180;-100;ROLL_LEFT;28,7755412441408
19;180;-100;ROLL_RIGHT;-2,43017965061192
19;180;-100;NO_ACTION;0,988251510008435
21;160;-100;ROLL_LEFT;24,4266495012711
21;160;-100;ROLL_RIGHT;-9,28700914475116
21;160;-100;NO_ACTION;2,19953374186931
25;160;-100;ROLL_LEFT;4,80892004244636
25;160;-100;ROLL_RIGHT;-9,54535163611908
25;160;-100;NO_ACTION;-6,45534475456781
24;-200;-100;ROLL_LEFT;-10,4370089699376
24;-200;-100;ROLL_RIGHT;-7,55328197556371
24;-200;-100;NO_ACTION;-6,9080737664148
21;-200;-100;ROLL_LEFT;-11,920681464342
21;-200;-100;ROLL_RIGHT;0,81123734521436
21;-200;-100;NO_ACTION;-6,77777019354587
19;-200;-100;ROLL_LEFT;-12,558081477834
19;-200;-100;ROLL_RIGHT;7,5771773440321
19;-200;-100;NO_ACTION;-3,34931195895631
16;-200;-100;ROLL_LEFT;-5,41254315354969
16;-200;-100;ROLL_RIGHT;10,4364828589361
16;-200;-100;NO_ACTION;0,484452043153343
14;-200;-100;ROLL_LEFT;-6,14346329109293
14;-200;-100;ROLL_RIGHT;2,44367733809108
14;-200;-100;NO_ACTION;-4,34311647128405
11;-200;-100;ROLL_LEFT;-6,64537978104751
11;-200;-100;ROLL_RIGHT;4,6803950798857
11;-200;-100;NO_ACTION;-2,74854676527437
9;-180;-100;ROLL_LEFT;0,299197915830179
9;-180;-100;ROLL_RIGHT;-2,09650319182317
9;-180;-100;NO_ACTION;10,088232822952
7;-180;-100;ROLL_LEFT;-2,82818277042666
7;-180;-100;ROLL_RIGHT;13,2090605925991
7;-180;-100;NO_ACTION;3,44266140953681
4;-160;-100;ROLL_LEFT;7,78927307008547
4;-160;-100;ROLL_RIGHT;12,3189477093347
4;-160;-100;NO_ACTION;26,0983360962668
2;-160;-100;ROLL_LEFT;-1,79677782183592
2;-160;-100;ROLL_RIGHT;38,5403665264944
2;-160;-100;NO_ACTION;14,3316614793498
2;180;100;ROLL_LEFT;0,487658966607993
2;180;100;ROLL_RIGHT;9,09734354945254
2;180;100;NO_ACTION;3,68624547424913
4;180;100;ROLL_LEFT;22,8300395479972
4;180;100;ROLL_RIGHT;-0,431048260845221
4;180;100;NO_ACTION;-2,37559997827411
7;200;100;ROLL_LEFT;7,67778174349161
7;200;100;ROLL_RIGHT;0
7;200;100;NO_ACTION;0
9;200;100;ROLL_LEFT;5,7558200047674
9;200;100;ROLL_RIGHT;0
