Timestamp;Agent Implementation;World Name ;Level Number;Collectibles Collected;Collectibles to Catch;Passed Level?;Elapsed Game Time (s);Time Limit (s);Elapsed Real Time (s);Score;Endgame Message
2023-05-06_11:34:41;GeometryFriendsAgents;Circle2017;1;3;3;1;26,5000012586825;120;27,312;456;
2023-05-06_11:35:08;GeometryFriendsAgents;Circle2017;1;3;3;1;25,7800012244843;120;26,97;457;
2023-05-06_11:35:39;GeometryFriendsAgents;Circle2017;1;3;3;1;29,6800014097244;120;30,766;451;
2023-05-06_11:36:07;GeometryFriendsAgents;Circle2017;1;3;3;1;27,6200013118796;120;28,551;454;
2023-05-06_11:36:38;GeometryFriendsAgents;Circle2017;1;3;3;1;29,4900014006998;120;30,303;451;
2023-05-06_11:37:05;GeometryFriendsAgents;Circle2017;1;3;3;1;26,300001249183;120;27,108;456;
2023-05-06_11:37:32;GeometryFriendsAgents;Circle2017;1;3;3;1;26,5700012620073;120;27,489;456;
2023-05-06_11:38:05;GeometryFriendsAgents;Circle2017;1;3;3;1;30,9300014690962;120;32,329;448;
2023-05-06_11:38:31;GeometryFriendsAgents;Circle2017;1;3;3;1;25,100001192186;120;26,162;458;
2023-05-06_11:39:02;GeometryFriendsAgents;Circle2017;1;3;3;1;30,7100014586467;120;31,455;449;
2023-05-06_11:39:12;GeometryFriendsAgents;Circle2017;2;2;2;1;7,76000036858022;120;9,212;387;
2023-05-06_11:39:21;GeometryFriendsAgents;Circle2017;2;2;2;1;7,75000036810525;120;9,14;387;
2023-05-06_11:39:30;GeometryFriendsAgents;Circle2017;2;2;2;1;7,79000037000515;120;9,706;387;
2023-05-06_11:39:40;GeometryFriendsAgents;Circle2017;2;2;2;1;7,75000036810525;120;9,503;387;
2023-05-06_11:39:49;GeometryFriendsAgents;Circle2017;2;2;2;1;7,76000036858022;120;9,067;387;
2023-05-06_11:39:58;GeometryFriendsAgents;Circle2017;2;2;2;1;7,75000036810525;120;8,991;387;
2023-05-06_11:40:07;GeometryFriendsAgents;Circle2017;2;2;2;1;7,81000037095509;120;9,058;387;
2023-05-06_11:40:16;GeometryFriendsAgents;Circle2017;2;2;2;1;7,75000036810525;120;9,033;387;
2023-05-06_11:40:25;GeometryFriendsAgents;Circle2017;2;2;2;1;7,75000036810525;120;9,14;387;
2023-05-06_11:40:34;GeometryFriendsAgents;Circle2017;2;2;2;1;7,82000037143007;120;8,91;387;
2023-05-06_11:40:51;GeometryFriendsAgents;Circle2017;3;3;3;1;16,3900007784832;120;17,205;473;
2023-05-06_11:41:08;GeometryFriendsAgents;Circle2017;3;3;3;1;16,3900007784832;120;16,925;473;
2023-05-06_11:41:25;GeometryFriendsAgents;Circle2017;3;3;3;1;16,3900007784832;120;16,918;473;
2023-05-06_11:41:42;GeometryFriendsAgents;Circle2017;3;3;3;1;16,4000007789582;120;17,005;473;
2023-05-06_11:41:59;GeometryFriendsAgents;Circle2017;3;3;3;1;16,4000007789582;120;16,897;473;
2023-05-06_11:42:16;GeometryFriendsAgents;Circle2017;3;3;3;1;16,3900007784832;120;16,935;473;
2023-05-06_11:42:33;GeometryFriendsAgents;Circle2017;3;3;3;1;16,3900007784832;120;16,919;473;
2023-05-06_11:42:50;GeometryFriendsAgents;Circle2017;3;3;3;1;16,3900007784832;120;17,056;473;
2023-05-06_11:43:07;GeometryFriendsAgents;Circle2017;3;3;3;1;16,3900007784832;120;16,943;473;
2023-05-06_11:43:24;GeometryFriendsAgents;Circle2017;3;3;3;1;16,3900007784832;120;16,912;473;
2023-05-06_11:43:45;GeometryFriendsAgents;Circle2017;4;3;3;1;19,5000009262003;120;20,546;467;
2023-05-06_11:44:05;GeometryFriendsAgents;Circle2017;4;3;3;1;19,6200009319;120;20,562;467;
2023-05-06_11:44:26;GeometryFriendsAgents;Circle2017;4;3;3;1;19,3300009181257;120;20,313;468;
2023-05-06_11:44:46;GeometryFriendsAgents;Circle2017;4;3;3;1;19,0600009053014;120;20,006;468;
2023-05-06_11:45:06;GeometryFriendsAgents;Circle2017;4;3;3;1;19,0700009057764;120;20,023;468;
2023-05-06_11:45:26;GeometryFriendsAgents;Circle2017;4;3;3;1;19,6200009319;120;20,554;467;
2023-05-06_11:45:47;GeometryFriendsAgents;Circle2017;4;3;3;1;19,3500009190757;120;20,349;468;
2023-05-06_11:46:06;GeometryFriendsAgents;Circle2017;4;3;3;1;19,0600009053014;120;19,983;468;
2023-05-06_11:46:27;GeometryFriendsAgents;Circle2017;4;3;3;1;19,7200009366497;120;20,683;467;
2023-05-06_11:46:47;GeometryFriendsAgents;Circle2017;4;3;3;1;19,3300009181257;120;20,299;468;
2023-05-06_11:47:10;GeometryFriendsAgents;Circle2017;5;3;3;1;21,4700010197703;120;22,075;464;
2023-05-06_11:47:32;GeometryFriendsAgents;Circle2017;5;3;3;1;21,4600010192953;120;21,968;464;
2023-05-06_11:47:49;GeometryFriendsAgents;Circle2017;5;3;3;1;16,460000781808;120;17;473;
2023-05-06_11:48:06;GeometryFriendsAgents;Circle2017;5;3;3;1;16,460000781808;120;16,93;473;
2023-05-06_11:48:22;GeometryFriendsAgents;Circle2017;5;3;3;1;16,460000781808;120;16,937;473;
2023-05-06_11:48:45;GeometryFriendsAgents;Circle2017;5;3;3;1;22,4100010644179;120;22,847;463;
2023-05-06_11:49:02;GeometryFriendsAgents;Circle2017;5;3;3;1;16,460000781808;120;16,953;473;
2023-05-06_11:49:19;GeometryFriendsAgents;Circle2017;5;3;3;1;16,460000781808;120;16,977;473;
2023-05-06_11:51:20;GeometryFriendsAgents;Circle2017;5;0;3;0;120,000005699694;120;120,624;0;
2023-05-06_11:51:37;GeometryFriendsAgents;Circle2017;5;3;3;1;16,460000781808;120;16,97;473;
2023-05-06_11:51:51;GeometryFriendsAgents;Circle2017;6;3;3;1;13,0300006188918;120;13,628;478;
2023-05-06_11:52:04;GeometryFriendsAgents;Circle2017;6;3;3;1;13,0200006184168;120;13,416;478;
2023-05-06_11:52:17;GeometryFriendsAgents;Circle2017;6;3;3;1;13,0100006179418;120;13,504;478;
2023-05-06_11:52:31;GeometryFriendsAgents;Circle2017;6;3;3;1;13,0300006188918;120;13,398;478;
2023-05-06_11:52:44;GeometryFriendsAgents;Circle2017;6;3;3;1;13,0200006184168;120;13,462;478;
2023-05-06_11:52:58;GeometryFriendsAgents;Circle2017;6;3;3;1;13,0200006184168;120;13,406;478;
2023-05-06_11:53:11;GeometryFriendsAgents;Circle2017;6;3;3;1;13,0100006179418;120;13,448;478;
2023-05-06_11:53:25;GeometryFriendsAgents;Circle2017;6;3;3;1;13,0200006184168;120;13,447;478;
2023-05-06_11:53:38;GeometryFriendsAgents;Circle2017;6;3;3;1;13,0000006174669;120;13,431;478;
2023-05-06_11:53:52;GeometryFriendsAgents;Circle2017;6;3;3;1;13,0400006193668;120;13,443;478;
2023-05-06_11:55:52;GeometryFriendsAgents;Circle2017;7;1;2;0;120,000005699694;120;120,577;100;
2023-05-06_11:57:53;GeometryFriendsAgents;Circle2017;7;1;2;0;120,000005699694;120;120,473;100;
2023-05-06_11:59:53;GeometryFriendsAgents;Circle2017;7;1;2;0;120,000005699694;120;120,507;100;
2023-05-06_12:01:54;GeometryFriendsAgents;Circle2017;7;1;2;0;120,000005699694;120;120,517;100;
2023-05-06_12:03:54;GeometryFriendsAgents;Circle2017;7;1;2;0;120,000005699694;120;120,5;100;
2023-05-06_12:05:55;GeometryFriendsAgents;Circle2017;7;1;2;0;120,000005699694;120;120,52;100;
2023-05-06_12:07:55;GeometryFriendsAgents;Circle2017;7;1;2;0;120,000005699694;120;120,495;100;
2023-05-06_12:09:56;GeometryFriendsAgents;Circle2017;7;1;2;0;120,000005699694;120;120,514;100;
2023-05-06_12:11:56;GeometryFriendsAgents;Circle2017;7;1;2;0;120,000005699694;120;120,537;100;
2023-05-06_12:13:57;GeometryFriendsAgents;Circle2017;7;1;2;0;120,000005699694;120;120,483;100;
2023-05-06_12:14:47;GeometryFriendsAgents;Circle2017;8;3;3;1;49,7000023606233;120;49,96;417;
2023-05-06_12:15:37;GeometryFriendsAgents;Circle2017;8;3;3;1;49,9000023701228;120;50,144;417;
2023-05-06_12:16:17;GeometryFriendsAgents;Circle2017;8;3;3;1;40,1500019070227;120;40,325;433;
2023-05-06_12:17:14;GeometryFriendsAgents;Circle2017;8;3;3;1;56,89000270213;120;57,075;405;
2023-05-06_12:18:08;GeometryFriendsAgents;Circle2017;8;3;3;1;53,8200025563128;120;54,035;410;
2023-05-06_12:18:41;GeometryFriendsAgents;Circle2017;8;3;3;1;32,0300015213434;120;32,247;447;
2023-05-06_12:19:25;GeometryFriendsAgents;Circle2017;8;3;3;1;44,5700021169614;120;44,753;426;
2023-05-06_12:20:04;GeometryFriendsAgents;Circle2017;8;3;3;1;38,2400018163025;120;38,459;436;
2023-05-06_12:20:35;GeometryFriendsAgents;Circle2017;8;3;3;1;31,0300014738459;120;31,223;448;
2023-05-06_12:21:13;GeometryFriendsAgents;Circle2017;8;3;3;1;37,8200017963536;120;37,993;437;
2023-05-06_12:21:28;GeometryFriendsAgents;Circle2017;9;1;1;1;14,2000006744638;120;14,86;276;
2023-05-06_12:21:43;GeometryFriendsAgents;Circle2017;9;1;1;1;14,2500006768387;120;14,874;276;
2023-05-06_12:21:56;GeometryFriendsAgents;Circle2017;9;1;1;1;12,2500005818438;120;12,826;280;
2023-05-06_12:22:08;GeometryFriendsAgents;Circle2017;9;1;1;1;11,4800005452707;120;12,109;281;
2023-05-06_12:22:21;GeometryFriendsAgents;Circle2017;9;1;1;1;12,3700005875435;120;12,917;279;
2023-05-06_12:22:35;GeometryFriendsAgents;Circle2017;9;1;1;1;13,8200006564148;120;14,408;277;
2023-05-06_12:24:36;GeometryFriendsAgents;Circle2017;9;0;1;0;120,000005699694;120;120,554;0;
2023-05-06_12:24:50;GeometryFriendsAgents;Circle2017;9;1;1;1;13,2700006302912;120;13,872;278;
2023-05-06_12:25:04;GeometryFriendsAgents;Circle2017;9;1;1;1;13,2700006302912;120;13,852;278;
2023-05-06_12:25:18;GeometryFriendsAgents;Circle2017;9;1;1;1;13,9900006644893;120;14,586;277;
2023-05-06_12:27:19;GeometryFriendsAgents;Circle2017;10;2;3;0;120,000005699694;120;120,327;200;
2023-05-06_12:29:19;GeometryFriendsAgents;Circle2017;10;2;3;0;120,000005699694;120;120,268;200;
2023-05-06_12:30:34;GeometryFriendsAgents;Circle2017;10;3;3;1;74,550003540935;120;74,817;376;
2023-05-06_12:32:34;GeometryFriendsAgents;Circle2017;10;2;3;0;120,000005699694;120;120,273;200;
2023-05-06_12:34:34;GeometryFriendsAgents;Circle2017;10;2;3;0;120,000005699694;120;120,26;200;
2023-05-06_12:36:35;GeometryFriendsAgents;Circle2017;10;2;3;0;120,000005699694;120;120,13;200;
2023-05-06_12:38:35;GeometryFriendsAgents;Circle2017;10;2;3;0;120,000005699694;120;119,996;200;
2023-05-06_12:40:35;GeometryFriendsAgents;Circle2017;10;2;3;0;120,000005699694;120;120,268;200;
2023-05-06_12:42:35;GeometryFriendsAgents;Circle2017;10;2;3;0;120,000005699694;120;120,187;200;
2023-05-06_12:44:31;GeometryFriendsAgents;Circle2017;10;3;3;1;114,910005457932;120;115,065;308;
2023-05-06_13:02:46;GeometryFriendsAgents;Circle2022.1;1;4;5;0;120,000005699694;120;120,823;400;
2023-05-06_13:04:47;GeometryFriendsAgents;Circle2022.1;1;4;5;0;120,000005699694;120;120,761;400;
2023-05-06_13:05:55;GeometryFriendsAgents;Circle2022.1;1;5;5;1;67,3200031975284;120;68,154;588;
2023-05-06_13:07:56;GeometryFriendsAgents;Circle2022.1;1;4;5;0;120,000005699694;120;120,921;400;
2023-05-06_13:09:57;GeometryFriendsAgents;Circle2022.1;1;4;5;0;120,000005699694;120;120,799;400;
2023-05-06_13:11:58;GeometryFriendsAgents;Circle2022.1;1;4;5;0;120,000005699694;120;120,75;400;
2023-05-06_13:13:59;GeometryFriendsAgents;Circle2022.1;1;4;5;0;120,000005699694;120;120,785;400;
2023-05-06_13:16:00;GeometryFriendsAgents;Circle2022.1;1;4;5;0;120,000005699694;120;120,823;400;
2023-05-06_13:16:54;GeometryFriendsAgents;Circle2022.1;1;5;5;1;53,8200025563128;120;54,589;610;
2023-05-06_13:18:55;GeometryFriendsAgents;Circle2022.1;1;4;5;0;120,000005699694;120;120,892;400;
2023-05-06_13:19:10;GeometryFriendsAgents;Circle2022.1;2;2;2;1;14,0300006663892;120;15,022;377;
2023-05-06_13:19:25;GeometryFriendsAgents;Circle2022.1;2;2;2;1;14,0300006663892;120;14,991;377;
2023-05-06_13:19:40;GeometryFriendsAgents;Circle2022.1;2;2;2;1;14,0300006663892;120;14,882;377;
2023-05-06_13:19:55;GeometryFriendsAgents;Circle2022.1;2;2;2;1;14,0300006663892;120;14,865;377;
2023-05-06_13:20:10;GeometryFriendsAgents;Circle2022.1;2;2;2;1;14,0300006663892;120;14,915;377;
2023-05-06_13:20:25;GeometryFriendsAgents;Circle2022.1;2;2;2;1;14,0300006663892;120;14,941;377;
2023-05-06_13:20:40;GeometryFriendsAgents;Circle2022.1;2;2;2;1;14,0300006663892;120;14,874;377;
2023-05-06_13:20:55;GeometryFriendsAgents;Circle2022.1;2;2;2;1;14,0300006663892;120;15,04;377;
2023-05-06_13:21:10;GeometryFriendsAgents;Circle2022.1;2;2;2;1;14,0300006663892;120;14,916;377;
2023-05-06_13:21:24;GeometryFriendsAgents;Circle2022.1;2;2;2;1;14,0300006663892;120;14,879;377;
2023-05-06_13:21:38;GeometryFriendsAgents;Circle2022.1;3;4;4;1;13,3000006317161;120;13,92;578;
2023-05-06_13:21:52;GeometryFriendsAgents;Circle2022.1;3;4;4;1;13,3800006355159;120;13,886;578;
2023-05-06_13:23:53;GeometryFriendsAgents;Circle2022.1;3;1;4;0;120,000005699694;120;120,597;100;
2023-05-06_13:24:09;GeometryFriendsAgents;Circle2022.1;3;4;4;1;15,9900007594842;120;16,535;573;
2023-05-06_13:24:23;GeometryFriendsAgents;Circle2022.1;3;4;4;1;13,5100006416906;120;14,003;577;
2023-05-06_13:24:40;GeometryFriendsAgents;Circle2022.1;3;4;4;1;16,0200007609092;120;16,669;573;
2023-05-06_13:24:55;GeometryFriendsAgents;Circle2022.1;3;4;4;1;13,8000006554648;120;14,429;577;
2023-05-06_13:25:08;GeometryFriendsAgents;Circle2022.1;3;4;4;1;13,2200006279163;120;13,727;578;
2023-05-06_13:27:09;GeometryFriendsAgents;Circle2022.1;3;1;4;0;120,000005699694;120;120,557;100;
2023-05-06_13:27:26;GeometryFriendsAgents;Circle2022.1;3;4;4;1;16,890000802232;120;17,391;572;
2023-05-06_13:28:18;GeometryFriendsAgents;Circle2022.1;4;2;2;1;50,5700024019461;120;51,287;316;
2023-05-06_13:30:18;GeometryFriendsAgents;Circle2022.1;4;1;2;0;120,000005699694;120;120,648;100;
2023-05-06_13:32:19;GeometryFriendsAgents;Circle2022.1;4;1;2;0;120,000005699694;120;120,639;100;
2023-05-06_13:34:20;GeometryFriendsAgents;Circle2022.1;4;1;2;0;120,000005699694;120;120,676;100;
2023-05-06_13:36:16;GeometryFriendsAgents;Circle2022.1;4;2;2;1;115,580005489755;120;116,264;207;
2023-05-06_13:38:17;GeometryFriendsAgents;Circle2022.1;4;1;2;0;120,000005699694;120;120,679;100;
2023-05-06_13:39:39;GeometryFriendsAgents;Circle2022.1;4;2;2;1;81,3200038624927;120;82,124;264;
2023-05-06_13:41:39;GeometryFriendsAgents;Circle2022.1;4;1;2;0;120,000005699694;120;120,668;100;
2023-05-06_13:43:40;GeometryFriendsAgents;Circle2022.1;4;1;2;0;120,000005699694;120;120,659;100;
2023-05-06_13:44:57;GeometryFriendsAgents;Circle2022.1;4;2;2;1;76,6600036411546;120;77,341;272;
2023-05-06_13:46:58;GeometryFriendsAgents;Circle2022.1;5;0;2;0;120,000005699694;120;120,492;0;
2023-05-06_13:48:58;GeometryFriendsAgents;Circle2022.1;5;0;2;0;120,000005699694;120;120,392;0;
2023-05-06_13:50:59;GeometryFriendsAgents;Circle2022.1;5;0;2;0;120,000005699694;120;120,476;0;
2023-05-06_13:52:59;GeometryFriendsAgents;Circle2022.1;5;0;2;0;120,000005699694;120;120,54;0;
2023-05-06_13:55:00;GeometryFriendsAgents;Circle2022.1;5;0;2;0;120,000005699694;120;120,397;0;
2023-05-06_13:57:00;GeometryFriendsAgents;Circle2022.1;5;0;2;0;120,000005699694;120;120,472;0;
2023-05-06_13:59:01;GeometryFriendsAgents;Circle2022.1;5;0;2;0;120,000005699694;120;120,391;0;
2023-05-06_14:01:01;GeometryFriendsAgents;Circle2022.1;5;0;2;0;120,000005699694;120;120,415;0;
2023-05-06_14:03:02;GeometryFriendsAgents;Circle2022.1;5;0;2;0;120,000005699694;120;120,477;0;
2023-05-06_14:05:02;GeometryFriendsAgents;Circle2022.1;5;0;2;0;120,000005699694;120;120,49;0;
2023-05-06_14:05:24;GeometryFriendsAgents;Circle2022.1;6;4;4;1;20,1200009556487;120;21,332;566;
2023-05-06_14:05:45;GeometryFriendsAgents;Circle2022.1;6;4;4;1;20,7200009841472;120;21,553;565;
2023-05-06_14:06:06;GeometryFriendsAgents;Circle2022.1;6;4;4;1;20,2500009618234;120;21,082;566;
2023-05-06_14:06:28;GeometryFriendsAgents;Circle2022.1;6;4;4;1;20,7200009841472;120;21,513;565;
2023-05-06_14:06:49;GeometryFriendsAgents;Circle2022.1;6;4;4;1;20,7200009841472;120;21,568;565;
2023-05-06_14:07:17;GeometryFriendsAgents;Circle2022.1;6;4;4;1;27,2300012933556;120;28,11;555;
2023-05-06_14:07:39;GeometryFriendsAgents;Circle2022.1;6;4;4;1;20,9000009926967;120;21,707;565;
2023-05-06_14:08:01;GeometryFriendsAgents;Circle2022.1;6;4;4;1;20,8600009907968;120;21,734;565;
2023-05-06_14:08:26;GeometryFriendsAgents;Circle2022.1;6;4;4;1;24,5000011636876;120;25,306;559;
2023-05-06_14:08:48;GeometryFriendsAgents;Circle2022.1;6;4;4;1;20,8600009907968;120;21,707;565;
