Distance;Current_Velocity;Target_Velocity;Move;Value
25;-200;-20;ROLL_LEFT;17,6178058214414
25;-200;-20;ROLL_RIGHT;38,1561465304332
25;-200;-20;NO_ACTION;34,2856271606651
5;-200;-20;ROLL_LEFT;-4,90848944877031
5;-200;-20;ROLL_RIGHT;-3,39795122663043
5;-200;-20;NO_ACTION;8,56552669403855
2;-200;-20;ROLL_LEFT;-0,910278083183982
2;-200;-20;ROLL_RIGHT;0,787916440856269
2;-200;-20;NO_ACTION;15,2816072773178
0;180;20;ROLL_LEFT;23,7138749629098
0;180;20;ROLL_RIGHT;47,801993866924
0;180;20;NO_ACTION;28,303230777151
3;180;20;ROLL_LEFT;70,1818611219862
3;180;20;ROLL_RIGHT;5,60727365798595
3;180;20;NO_ACTION;20,0220504845946
5;180;20;ROLL_LEFT;64,6556432448326
5;180;20;ROLL_RIGHT;17,2830700302437
5;180;20;NO_ACTION;11,3832285851141
7;180;20;ROLL_LEFT;58,6629411005732
7;180;20;ROLL_RIGHT;11,930424486306
7;180;20;NO_ACTION;1,78805858878891
9;160;20;ROLL_LEFT;74,1484146950145
9;160;20;ROLL_RIGHT;24,2285665104301
9;160;20;NO_ACTION;17,0811173956737
11;160;20;ROLL_LEFT;68,1499321976818
11;160;20;ROLL_RIGHT;14,3815894234434
11;160;20;NO_ACTION;13,1373171409049
14;180;20;ROLL_LEFT;33,4956585541805
14;180;20;ROLL_RIGHT;-0,581194115107952
14;180;20;NO_ACTION;0,00471486651213837
16;180;20;ROLL_LEFT;22,2869021519368
16;180;20;ROLL_RIGHT;-3,00165883870542
16;180;20;NO_ACTION;-1,46013545397428
18;200;20;ROLL_LEFT;21,613236278601
18;200;20;ROLL_RIGHT;-2,42491265148806
18;200;20;NO_ACTION;-0,310287556649641
21;200;20;ROLL_LEFT;18,6671332537374
21;200;20;ROLL_RIGHT;-14,987913547696
21;200;20;NO_ACTION;-4,12143746335499
23;180;20;ROLL_LEFT;9,20805309530123
23;180;20;ROLL_RIGHT;-6,67219367314038
23;180;20;NO_ACTION;-1,00000001490116
25;180;20;ROLL_LEFT;6,07616723871483
25;180;20;ROLL_RIGHT;-10,4976467416323
25;180;20;NO_ACTION;-4,95893997057185
25;-180;20;ROLL_LEFT;-8,23753957930528
25;-180;20;ROLL_RIGHT;-4,41564176247918
25;-180;20;NO_ACTION;-9,23762533720902
23;-180;20;ROLL_LEFT;-8,62856537193075
23;-180;20;ROLL_RIGHT;-11,6688133473724
23;-180;20;NO_ACTION;-9,22049316363117
21;-180;20;ROLL_LEFT;-1,10583522626635
21;-180;20;ROLL_RIGHT;-6,5904441549501
21;-180;20;NO_ACTION;-7,83066363955679
18;-180;20;ROLL_LEFT;-9,33645086156744
18;-180;20;ROLL_RIGHT;-2,97582864298138
18;-180;20;NO_ACTION;10,8764784809699
16;-180;20;ROLL_LEFT;5,28974783688945
16;-180;20;ROLL_RIGHT;19,2071823714351
16;-180;20;NO_ACTION;-3,44074816001593
14;-180;20;ROLL_LEFT;28,687544771546
14;-180;20;ROLL_RIGHT;10,8863540804921
14;-180;20;NO_ACTION;12,3443955151724
11;-180;20;ROLL_LEFT;43,9210703419129
11;-180;20;ROLL_RIGHT;32,9702805852061
11;-180;20;NO_ACTION;30,6234256613864
9;-180;20;ROLL_LEFT;41,0668133345013
9;-180;20;ROLL_RIGHT;50,5608458278923
