Geometry Friends Agents;;;;;;
World: ;Cooperative2023;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;4;4;42;120;401
2;10;3,5;4;85,6;120;351
3;10;3,9;4;87,6;120;391
4;10;4;4;64,9;180;401
5;10;3;3;27,3;120;301
Geometry Friends Agents
World: ;Cooperative2023
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;4;4;35,1;120;401
2;10;2,9;4;95,6;120;290
3;10;3,5;4;99,2;120;350
4;10;4;4;61,9;180;401
5;10;1,3;3;83;120;130
