Geometry Friends Agents
World: ;Circle2013
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;3;2;2;5,7;∞;400
2;3;3;3;15,5;∞;500
3;3;3;3;18,2;∞;500
4;3;4;4;20,1;∞;600
5;3;2;2;17,8;∞;400
6;3;2;2;9,7;∞;400

8;3;3;3;31,5;∞;500
9;3;4;4;38,6;∞;600
10;3;2;2;24,5;∞;400
World: ;Circle2014
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;3;2;2;5,9;20;341
2;3;3;3;15,4;45;432
3;3;3;3;17,2;60;443
4;3;4;4;18,4;80;554
5;3;2;2;18;70;348
6;3;2;2;9,3;40;353
7;3;2;3;60;60;200
8;3;3;3;24,5;40;377
9;3;3;3;25,8;80;436
10;3;3;3;45,3;100;409
World: ;Circle2015
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;3;2;2;9,7;30;335
2;3;3;3;15,2;60;449
3;3;2;3;12,7;90;305
4;3;4;4;22,6;90;550
5;3;4;4;38,2;90;515
World: ;Circle2019
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;3;3;3;23,7;120;460
2;3;3;3;10,8;120;482
3;3;3;3;59,7;120;400
4;3;1;1;10,1;120;283
5;3;3;3;11,8;120;480

7;3;3;3;9,9;120;483
8;3;2;2;22,2;120;363
9;3;3;3;18;120;470
10;3;3;3;8,9;120;485
World: ;Circle2022.1
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;3;5;5;14,6;120;676
2;3;2;2;9,1;120;385
3;3;4;4;22,4;120;563
4;3;2;2;16,3;120;372
5;3;2;2;12,6;120;379
6;3;4;4;16,5;120;573
7;3;5;5;24,3;120;660
8;3;5;5;42,3;120;630
9;3;5;5;32;120;647
10;3;3;3;66,2;120;390
World: ;Circle2022.2
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;3;2;2;12,4;120;379

3;3;4;4;14;120;577
4;3;1;1;19,8;120;267
5;3;3;3;18,4;120;470
6;3;4;4;33,6;120;544
7;3;6;6;51,3;120;715
8;3;5;5;31,5;120;648
9;3;8;8;53,6;120;911
10;3;1;1;26,8;120;256
World: ;CircleAlfa
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;3;2;2;5,3;15;329
2;3;1;1;4,4;15;241
3;3;3;3;14,5;45;436
4;3;2;2;6,6;25;347
5;3;3;3;10,3;25;418
6;3;2;2;5,9;15;321
7;3;1;1;1,9;15;275
8;3;2;2;9,1;15;279
9;3;1;1;2,4;15;267
10;3;4;4;9,4;25;525
11;3;2;2;6,5;15;313
12;3;3;3;14,4;25;385
13;3;2;2;6,4;15;315
14;3;1;1;2,9;15;261
15;3;2;2;9,9;15;268
16;3;1;1;3,3;15;256
17;3;4;4;11,4;25;509
18;3;2;2;7,6;15;299
World: ;CircleComp
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;3;3;3;23,7;40;381
2;3;2;2;18,8;60;337
3;3;4;4;48;60;440
4;3;3;3;24,1;40;379
5;3;2;2;31,5;50;274
World: ;World
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;3;1;1;7,9;∞;300
2;3;1;1;4,5;∞;300
3;3;1;1;26,3;∞;300
4;3;2;2;55,1;∞;400

