I S T  Agents
World: ;Cooperative 2014 Competition
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;0;3;90;90;0
2;1;1;3;90;90;100

4;1;0;5;110;110;0
5;1;0;4;100;100;0
6;1;0;4;90;90;0


9;1;1;3;55;55;100
10;1;0;2;35;35;0
I S T  Agents
World: ;GF-CoG 2022 - Cooperation Track
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;0;1;120;120;0








10;1;1;1;25,3;120;258
I S T  Agents
World: ;Rectangle 2013 Competition
level;runs;collectibles average;collectibles available;time average;time limit;score average

2;1;2;2;18,6;∞;400








I S T  Agents
World: ;GF 2015 Circle Track
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;2;2;12,2;30;318
2;1;2;3;60;60;200

4;1;1;4;90;90;100
5;1;2;4;90;90;200
I S T  Agents
World: ;SingleTest
level;runs;collectibles average;collectibles available;time average;time limit;score average


