Timestamp;Agent Implementation;World Name ;Level Number;Collectibles Collected;Collectibles to Catch;Passed Level?;Elapsed Game Time (s);Time Limit (s);Elapsed Real Time (s);Score;Endgame Message
2022-10-22_12:08:58;IST Agents;AlfaCircleLevels;1;2;2;1;7,96000037807971;15;2,13;294;
2022-10-22_12:09:02;IST Agents;AlfaCircleLevels;2;0;1;0;15,0000007124618;15;3,744;0;
2022-10-22_12:09:06;IST Agents;AlfaCircleLevels;3;3;3;1;17,4400008283556;45;4,414;422;
2022-10-22_12:09:07;IST Agents;AlfaCircleLevels;4;2;2;1;4,92000023368746;25;1,236;361;
2022-10-22_12:09:11;IST Agents;AlfaCircleLevels;5;3;3;1;13,8800006592646;25;3,468;389;
2022-10-22_12:09:14;IST Agents;AlfaCircleLevels;6;2;2;1;11,6000005509704;15;2,963;245;
2022-10-22_12:09:16;IST Agents;AlfaCircleLevels;7;1;1;1;7,36000034958124;15;1,842;202;
2022-10-22_12:09:20;IST Agents;AlfaCircleLevels;8;2;2;1;14,120000670664;15;3,679;212;
2022-10-22_12:09:20;IST Agents;AlfaCircleLevels;9;1;1;1;2,0800000987947;15;0,572;272;
2022-10-22_12:09:23;IST Agents;AlfaCircleLevels;10;4;4;1;12,3600005870685;25;3,097;501;
2022-10-22_12:09:27;IST Agents;AlfaCircleLevels;11;1;2;0;15,0000007124618;15;4,031;100;
2022-10-22_12:09:32;IST Agents;AlfaCircleLevels;12;3;3;1;19,6400009328499;25;4,955;343;
2022-10-22_12:09:36;IST Agents;AlfaCircleLevels;13;2;2;1;12,8000006079674;15;3,391;229;
2022-10-22_12:09:40;IST Agents;AlfaCircleLevels;14;0;1;0;15,0000007124618;15;3,833;0;
2022-10-22_12:09:43;IST Agents;AlfaCircleLevels;15;2;2;1;11,2800005357713;15;2,983;250;
2022-10-22_12:09:47;IST Agents;AlfaCircleLevels;16;0;1;0;15,0000007124618;15;3,794;0;
2022-10-22_12:09:49;IST Agents;AlfaCircleLevels;17;4;4;1;10,3200004901737;25;2,719;517;
2022-10-22_12:09:53;IST Agents;AlfaCircleLevels;18;0;2;0;15,0000007124618;15;3,864;0;
2022-10-22_12:09:55;IST Agents;AlfaSquareLevels;1;2;2;1;7,32000034768134;15;1,84;302;
2022-10-22_12:09:57;IST Agents;AlfaSquareLevels;2;1;1;1;6,64000031538308;15;1,662;211;
2022-10-22_12:10:02;IST Agents;AlfaSquareLevels;3;3;3;1;20,400000968948;45;5,189;409;
2022-10-22_12:10:08;IST Agents;AlfaSquareLevels;4;1;2;0;25,0000011874363;25;6,26;100;
2022-10-22_12:10:10;IST Agents;AlfaSquareLevels;5;3;3;1;7,36000034958124;25;1,846;441;
2022-10-22_12:10:12;IST Agents;AlfaSquareLevels;6;2;2;1;5,40000025648624;15;1,357;328;
2022-10-22_12:10:13;IST Agents;AlfaSquareLevels;7;1;1;1;3,00000014249235;15;0,754;260;
2022-10-22_12:10:15;IST Agents;AlfaSquareLevels;8;2;2;1;9,24000043887645;15;2,318;277;
2022-10-22_12:10:16;IST Agents;AlfaSquareLevels;9;1;1;1;3,84000018239021;15;0,965;249;
2022-10-22_12:10:18;IST Agents;AlfaSquareLevels;10;4;4;1;8,44000040087849;25;2,106;532;
2022-10-22_12:10:20;IST Agents;AlfaSquareLevels;11;2;2;1;6,1200002906844;15;1,533;318;
2022-10-22_12:10:23;IST Agents;AlfaSquareLevels;12;3;3;1;12,2000005794689;25;3,058;402;
2022-10-22_12:10:24;IST Agents;AlfaSquareLevels;13;2;2;1;5,28000025078654;15;1,32;330;
2022-10-22_12:10:25;IST Agents;AlfaSquareLevels;14;1;1;1;4,48000021278858;15;1,129;240;
2022-10-22_12:10:29;IST Agents;AlfaSquareLevels;15;2;2;1;14,2800006782636;15;3,575;210;
2022-10-22_12:10:30;IST Agents;AlfaSquareLevels;16;1;1;1;4,60000021848828;15;1,158;239;
2022-10-22_12:10:35;IST Agents;AlfaSquareLevels;17;4;4;1;17,8400008473545;25;4,453;457;
2022-10-22_12:10:36;IST Agents;AlfaSquareLevels;18;2;2;1;6,80000032298267;15;1,691;309;
2022-10-22_12:11:00;IST Agents;Circle 2013 Competition;1;2;2;1;94,9200045084581;∞;23,734;400;
2022-10-22_12:11:09;IST Agents;Circle 2013 Competition;2;3;3;1;36,7200017441064;∞;9,188;500;
2022-10-22_12:12:04;IST Agents;Circle 2013 Competition;4;4;4;1;24,6000011684373;∞;6,274;600;
2022-10-22_12:13:08;IST Agents;Circle 2013 Competition;5;2;2;1;254,600012092851;∞;63,669;400;
2022-10-22_12:13:10;IST Agents;Circle 2013 Competition;6;2;2;1;8,88000042177737;∞;2,229;400;
2022-10-22_12:13:20;IST Agents;Circle 2013 Competition;7;3;3;1;40,5600019264966;∞;10,142;500;
2022-10-22_12:13:30;IST Agents;Circle 2013 Competition;8;3;3;1;38,3200018201023;∞;9,587;500;
2022-10-22_12:14:53;IST Agents;Circle 2014 Competition;1;2;2;1;17,8000008454546;20;4,456;222;
2022-10-22_12:14:59;IST Agents;Circle 2014 Competition;2;3;3;1;25,6400012178347;45;6,414;386;
2022-10-22_12:15:16;IST Agents;Circle 2014 Competition;4;4;4;1;49,6800023596734;80;12,464;476;
2022-10-22_12:15:34;IST Agents;Circle 2014 Competition;5;0;2;0;70,0000033248216;70;17,501;0;
2022-10-22_12:15:49;IST Agents;Circle 2014 Competition;7;3;3;1;35,7600016985089;60;8,946;381;
2022-10-22_12:15:56;IST Agents;Circle 2014 Competition;8;3;3;1;28,0000013299286;40;6,993;360;
2022-10-22_12:16:16;IST Agents;Circle 2014 Competition;9;2;3;0;80,0000037997961;80;20,007;200;
2022-10-22_12:16:41;IST Agents;Circle 2014 Competition;10;1;3;0;100,000004749745;100;25,009;100;
2022-10-22_12:16:48;IST Agents;Comp C;1;3;3;1;26,4400012558326;40;6,69;368;
2022-10-22_12:16:56;IST Agents;Comp C;2;2;2;1;30,5200014496222;60;7,725;298;
2022-10-22_12:17:11;IST Agents;Comp C;3;3;4;0;60,0000028498471;60;15,004;300;
2022-10-22_12:17:21;IST Agents;Comp C;4;2;3;0;40,0000018998981;40;10,005;200;
2022-10-22_12:17:30;IST Agents;Comp C;5;2;2;1;36,0400017118081;50;9,008;256;
2022-10-22_12:17:35;IST Agents;Comp R;1;0;2;0;20,000000949949;20;4,993;0;
2022-10-22_12:17:50;IST Agents;Comp R;2;1;3;0;60,0000028498471;60;15,013;100;
2022-10-22_12:18:03;IST Agents;Comp R;3;2;4;0;50,0000023748726;50;12,502;200;
2022-10-22_12:18:10;IST Agents;Comp R;4;1;2;0;30,0000014249235;30;7,502;100;
2022-10-22_12:18:21;IST Agents;Comp R;5;0;2;0;45,0000021373853;45;11,268;0;
2022-10-22_12:18:31;IST Agents;Compcoop;1;1;3;0;40,0000018998981;40;10,01;100;
2022-10-22_12:18:54;IST Agents;Compcoop;2;1;5;0;90,0000042747706;90;22,511;100;
2022-10-22_12:19:17;IST Agents;Compcoop;3;0;2;0;90,0000042747706;90;22,726;0;
2022-10-22_12:19:23;IST Agents;Compcoop;4;0;2;0;25,0000011874363;25;6,248;0;
2022-10-22_12:19:33;IST Agents;Compcoop;5;0;2;0;40,0000018998981;40;10,143;0;
2022-10-22_12:21:44;IST Agents;Cooperative 2014 Competition;8;2;2;1;56,1600026674569;∞;14,212;400;
2022-10-22_12:22:03;IST Agents;Cooperative 2014 Competition;10;0;2;0;35,0000016624108;35;8,888;0;
2022-10-22_12:22:24;IST Agents;GF 2015 Circle Track;1;2;2;1;11,5200005471706;30;3,014;323;
2022-10-22_12:22:43;IST Agents;GF 2015 Circle Track;4;4;4;1;26,0800012387335;90;6,706;542;
2022-10-22_12:24:11;IST Agents;GF-CoG 2019 - Rectangle Track;1;2;2;1;18,2800008682534;120;4,567;370;
2022-10-22_12:24:18;IST Agents;GF-CoG 2019 - Rectangle Track;2;3;3;1;27,080001286231;120;6,781;455;
2022-10-22_12:24:25;IST Agents;GF-CoG 2019 - Rectangle Track;3;3;3;1;27,8800013242289;120;6,982;454;
2022-10-22_12:24:32;IST Agents;GF-CoG 2019 - Rectangle Track;4;3;3;1;28,6000013584271;120;7,153;452;
2022-10-22_12:24:36;IST Agents;GF-CoG 2019 - Rectangle Track;5;2;2;1;14,4000006839633;120;3,605;376;
2022-10-22_12:24:42;IST Agents;GF-CoG 2019 - Rectangle Track;6;3;3;1;23,2000011019409;120;5,799;461;
2022-10-22_12:24:46;IST Agents;GF-CoG 2019 - Rectangle Track;7;2;2;1;17,8000008454546;120;4,444;370;
2022-10-22_12:24:52;IST Agents;GF-CoG 2019 - Rectangle Track;8;2;2;1;21,8000010354444;120;5,452;364;
2022-10-22_12:25:07;IST Agents;GF-CoG 2019 - Rectangle Track;10;2;2;1;11,9200005661696;120;2,993;380;
2022-10-22_12:26:23;IST Agents;GF-CoG 2022 - Cooperation Track;8;3;8;0;120,000005699694;120;30,129;300;
2022-10-22_12:33:19;IST Agents;Circle 2013 Competition;1;2;2;1;170,65000810544;∞;34,168;400;
2022-10-22_12:34:18;IST Agents;Circle 2013 Competition;4;4;4;1;138,400006573647;∞;27,758;600;
2022-10-22_12:35:46;IST Agents;Circle 2013 Competition;8;3;3;1;38,9500018500257;∞;7,798;500;
2022-10-22_15:51:27;IST Agents;Cooperative 2013 Competition;5;4;4;1;113,400005386211;∞;23,646;600;
2022-10-22_15:53:17;IST Agents;Circle 2014 Competition;2;1;3;0;45,0000021373853;45;10,005;100;
2022-10-22_15:53:27;IST Agents;Circle 2014 Competition;2;1;3;0;45,0000021373853;45;10,098;100;
2022-10-22_15:54:06;IST Agents;Cooperative 2014 Competition;1;0;3;0;90,0000042747706;90;19;0;
2022-10-22_15:54:24;IST Agents;Cooperative 2014 Competition;2;1;3;0;90,0000042747706;90;18,215;100;
2022-10-22_15:54:55;IST Agents;Cooperative 2014 Competition;4;0;5;0;110,00000522472;110;23,496;0;
2022-10-22_15:55:16;IST Agents;Cooperative 2014 Competition;5;0;4;0;100,000004749745;100;21,072;0;
2022-10-22_15:55:35;IST Agents;Cooperative 2014 Competition;6;0;4;0;90,0000042747706;90;18,951;0;
2022-10-22_15:56:09;IST Agents;Cooperative 2014 Competition;9;1;3;0;55,0000026123598;55;11,353;100;
2022-10-22_15:56:17;IST Agents;Cooperative 2014 Competition;10;0;2;0;35,0000016624108;35;7,661;0;
2022-10-22_15:56:50;IST Agents;GF-CoG 2022 - Cooperation Track;1;0;1;0;120,000005699694;120;24,467;0;
2022-10-22_15:58:31;IST Agents;GF-CoG 2022 - Cooperation Track;10;1;1;1;25,3000012016855;120;5,843;258;
2022-10-22_15:58:52;IST Agents;Rectangle 2013 Competition;2;2;2;1;18,6000008834526;∞;3,704;400;
2022-10-22_16:00:35;IST Agents;Circle 2013 Competition;2;3;3;1;141,700006730389;∞;29,125;500;
2022-10-22_16:01:07;IST Agents;Circle 2013 Competition;4;4;4;1;56,4000026788563;∞;12,516;600;
2022-10-22_16:01:23;IST Agents;Circle 2013 Competition;4;4;4;1;153,900007309858;∞;32,214;600;
2022-10-22_16:01:26;IST Agents;Circle 2013 Competition;6;2;2;1;12,550000596093;∞;3,213;400;
2022-10-22_16:03:46;IST Agents;GF 2015 Circle Track;1;2;2;1;12,2400005813688;30;8,977;318;
2022-10-22_16:03:56;IST Agents;GF 2015 Circle Track;2;2;3;0;60,0000028498471;60;17,327;200;
2022-10-22_16:04:34;IST Agents;GF 2015 Circle Track;4;1;4;0;90,0000042747706;90;19,256;100;
2022-10-22_16:04:53;IST Agents;GF 2015 Circle Track;5;2;4;0;90,0000042747706;90;19,203;200;
