Timestamp;Agent Implementation;World Name ;Level Number;Collectibles Collected;Collectibles to Catch;Passed Level?;Elapsed Game Time (s);Time Limit (s);Elapsed Real Time (s);Score;Endgame Message
2022-10-15_19:24:49;GeometryFriendsAgents;Circle 2014 Competition;1;0;2;0;20,000000949949;20;4,003;0;
2022-10-15_19:24:53;GeometryFriendsAgents;Circle 2014 Competition;1;1;2;0;20,000000949949;20;3,995;100;
2022-10-15_19:24:57;GeometryFriendsAgents;Circle 2014 Competition;1;0;2;0;20,000000949949;20;4;0;
2022-10-15_19:25:01;GeometryFriendsAgents;Circle 2014 Competition;1;0;2;0;20,000000949949;20;4,001;0;
2022-10-15_19:25:05;GeometryFriendsAgents;Circle 2014 Competition;1;0;2;0;20,000000949949;20;4;0;
2022-10-15_19:25:07;GeometryFriendsAgents;Circle 2014 Competition;1;2;2;1;13,6000006459653;20;2,723;264;
2022-10-15_19:25:10;GeometryFriendsAgents;Circle 2014 Competition;1;2;2;1;12,3500005865935;20;2,462;276;
2022-10-15_19:25:14;GeometryFriendsAgents;Circle 2014 Competition;1;1;2;0;20,000000949949;20;4,002;100;
2022-10-15_19:25:18;GeometryFriendsAgents;Circle 2014 Competition;1;0;2;0;20,000000949949;20;3,989;0;
2022-10-15_19:25:22;GeometryFriendsAgents;Circle 2014 Competition;1;0;2;0;20,000000949949;20;4,003;0;
2022-10-15_19:25:31;GeometryFriendsAgents;Circle 2014 Competition;2;1;3;0;45,0000021373853;45;8,978;100;
2022-10-15_19:25:40;GeometryFriendsAgents;Circle 2014 Competition;2;0;3;0;45,0000021373853;45;8,997;0;
2022-10-15_19:25:49;GeometryFriendsAgents;Circle 2014 Competition;2;1;3;0;45,0000021373853;45;8,993;100;
2022-10-15_19:25:58;GeometryFriendsAgents;Circle 2014 Competition;2;1;3;0;45,0000021373853;45;8,999;100;
2022-10-15_19:26:07;GeometryFriendsAgents;Circle 2014 Competition;2;0;3;0;45,0000021373853;45;9,006;0;
2022-10-15_19:26:16;GeometryFriendsAgents;Circle 2014 Competition;2;1;3;0;45,0000021373853;45;9,006;100;
2022-10-15_19:26:25;GeometryFriendsAgents;Circle 2014 Competition;2;1;3;0;45,0000021373853;45;9,013;100;
2022-10-15_19:26:34;GeometryFriendsAgents;Circle 2014 Competition;2;1;3;0;45,0000021373853;45;8,999;100;
2022-10-15_19:26:43;GeometryFriendsAgents;Circle 2014 Competition;2;1;3;0;45,0000021373853;45;9,006;100;
2022-10-15_19:26:52;GeometryFriendsAgents;Circle 2014 Competition;2;0;3;0;45,0000021373853;45;9,005;0;
2022-10-15_19:27:04;GeometryFriendsAgents;Circle 2014 Competition;3;0;3;0;60,0000028498471;60;12,011;0;
2022-10-15_19:27:16;GeometryFriendsAgents;Circle 2014 Competition;3;1;3;0;60,0000028498471;60;12,007;100;
2022-10-15_19:27:28;GeometryFriendsAgents;Circle 2014 Competition;3;0;3;0;60,0000028498471;60;12,003;0;
2022-10-15_19:27:40;GeometryFriendsAgents;Circle 2014 Competition;3;1;3;0;60,0000028498471;60;12,004;100;
2022-10-15_19:27:52;GeometryFriendsAgents;Circle 2014 Competition;3;0;3;0;60,0000028498471;60;12,001;0;
2022-10-15_19:28:04;GeometryFriendsAgents;Circle 2014 Competition;3;0;3;0;60,0000028498471;60;11,988;0;
2022-10-15_19:28:16;GeometryFriendsAgents;Circle 2014 Competition;3;0;3;0;60,0000028498471;60;11,996;0;
2022-10-15_19:28:28;GeometryFriendsAgents;Circle 2014 Competition;3;2;3;0;60,0000028498471;60;11,999;200;
2022-10-15_19:28:40;GeometryFriendsAgents;Circle 2014 Competition;3;0;3;0;60,0000028498471;60;12,006;0;
2022-10-15_19:28:52;GeometryFriendsAgents;Circle 2014 Competition;3;0;3;0;60,0000028498471;60;12,001;0;
2022-10-15_19:29:08;GeometryFriendsAgents;Circle 2014 Competition;4;3;4;0;80,0000037997961;80;16,001;300;
2022-10-15_19:29:24;GeometryFriendsAgents;Circle 2014 Competition;4;2;4;0;80,0000037997961;80;16,004;200;
2022-10-15_19:29:40;GeometryFriendsAgents;Circle 2014 Competition;4;2;4;0;80,0000037997961;80;16,003;200;
2022-10-15_19:29:56;GeometryFriendsAgents;Circle 2014 Competition;4;2;4;0;80,0000037997961;80;16,01;200;
2022-10-15_19:30:12;GeometryFriendsAgents;Circle 2014 Competition;4;2;4;0;80,0000037997961;80;16,006;200;
2022-10-15_19:30:28;GeometryFriendsAgents;Circle 2014 Competition;4;2;4;0;80,0000037997961;80;16,001;200;
2022-10-15_19:30:44;GeometryFriendsAgents;Circle 2014 Competition;4;2;4;0;80,0000037997961;80;16;200;
2022-10-15_19:31:00;GeometryFriendsAgents;Circle 2014 Competition;4;1;4;0;80,0000037997961;80;15,992;100;
2022-10-15_19:31:16;GeometryFriendsAgents;Circle 2014 Competition;4;2;4;0;80,0000037997961;80;15,994;200;
2022-10-15_19:31:36;GeometryFriendsAgents;Circle 2014 Competition;8;2;3;0;40,0000018998981;40;8,02;200;
