Distance;Current_Velocity;Target_Velocity;Move;Value
25;-200;-140;ROLL_LEFT;-4,12611201341787
25;-200;-140;ROLL_RIGHT;-4,18707699432992
25;-200;-140;NO_ACTION;-4,29174923968433
2;-200;-140;ROLL_LEFT;-0,749788513236335
2;-200;-140;ROLL_RIGHT;-0,680645102908431
2;-200;-140;NO_ACTION;-0,882855214505683
3;200;140;ROLL_LEFT;10,9488357900637
3;200;140;ROLL_RIGHT;0
3;200;140;NO_ACTION;-10,0000001490116
7;180;140;ROLL_LEFT;25,6191655620897
7;180;140;ROLL_RIGHT;-16,9747969221952
7;180;140;NO_ACTION;-43,9482318490414
10;160;140;ROLL_LEFT;24,7735704322964
10;160;140;ROLL_RIGHT;-7,29549979913894
10;160;140;NO_ACTION;-32,4364616801644
12;160;140;ROLL_LEFT;24,3083087118988
12;160;140;ROLL_RIGHT;-10,0000001490116
12;160;140;NO_ACTION;-38,9158651107715
16;160;140;ROLL_LEFT;10,5463957238987
16;160;140;ROLL_RIGHT;-18,6087701765747
16;160;140;NO_ACTION;-33,521164129532
18;160;140;ROLL_LEFT;7,21325574761122
18;160;140;ROLL_RIGHT;-18,6924565769
18;160;140;NO_ACTION;-18,8949551738697
20;160;140;ROLL_LEFT;1,10573547985955
20;160;140;ROLL_RIGHT;-9,71272302009129
20;160;140;NO_ACTION;0
22;180;140;ROLL_LEFT;2,20914424224243
22;180;140;ROLL_RIGHT;0
22;180;140;NO_ACTION;-9,89597514719553
24;180;140;ROLL_LEFT;3,55242008151604
24;180;140;ROLL_RIGHT;-9,8951177721767
24;180;140;NO_ACTION;0
25;-180;140;ROLL_LEFT;16,0951393575653
25;-180;140;ROLL_RIGHT;0
25;-180;140;NO_ACTION;-10,0000001490116
23;-180;140;ROLL_LEFT;24,3193045928459
23;-180;140;ROLL_RIGHT;0
23;-180;140;NO_ACTION;-38,8151391956931
21;-200;140;ROLL_LEFT;132,078493861807
21;-200;140;ROLL_RIGHT;10,8691781042554
21;-200;140;NO_ACTION;6,75663589952605
18;-200;140;ROLL_LEFT;129,352743409694
18;-200;140;ROLL_RIGHT;-5,67083834351392
18;-200;140;NO_ACTION;11,9031835362124
16;-200;140;ROLL_LEFT;126,777028857668
16;-200;140;ROLL_RIGHT;3,16858840294437
16;-200;140;NO_ACTION;5,07073336609775
14;-200;140;ROLL_LEFT;124,926749528105
14;-200;140;ROLL_RIGHT;-1,597520001355
14;-200;140;NO_ACTION;7,21688705923757
11;-200;140;ROLL_LEFT;117,258015850063
11;-200;140;ROLL_RIGHT;105,255056488449
11;-200;140;NO_ACTION;107,682674422324
9;-200;140;ROLL_LEFT;110,747473593638
9;-200;140;ROLL_RIGHT;110,389084368773
9;-200;140;NO_ACTION;121,621540702682
6;-200;140;ROLL_LEFT;17,3771451353233
6;-200;140;ROLL_RIGHT;133,562691375645
6;-200;140;NO_ACTION;19,3088719194383
4;-200;140;ROLL_LEFT;12,3863266099679
4;-200;140;ROLL_RIGHT;134,78750032677
4;-200;140;NO_ACTION;12,666110937781
1;-180;140;ROLL_LEFT;16,0169413037657
1;-180;140;ROLL_RIGHT;131,159360345278
1;-180;140;NO_ACTION;14,2316591393658
1;180;-140;ROLL_LEFT;129,288515615933
1;180;-140;ROLL_RIGHT;6,00082974356413
1;180;-140;NO_ACTION;7,44602442652375
3;200;-140;ROLL_LEFT;65,5103540842122
3;200;-140;ROLL_RIGHT;-7,14900479126388
3;200;-140;NO_ACTION;-17,6384695789994
6;180;-140;ROLL_LEFT;108,823211348431
6;180;-140;ROLL_RIGHT;-12,7510456301174
6;180;-140;NO_ACTION;-28,3145437270392
8;160;-140;ROLL_LEFT;115,050407105241
8;160;-140;ROLL_RIGHT;-7,00520265394078
8;160;-140;NO_ACTION;1,26554909557965
10;160;-140;ROLL_LEFT;104,093803580114
10;160;-140;ROLL_RIGHT;-11,2023050430017
10;160;-140;NO_ACTION;-8,25057919147259
12;160;-140;ROLL_LEFT;89,1719480462913
12;160;-140;ROLL_RIGHT;-22,8896932960458
12;160;-140;NO_ACTION;-33,1524534425797
16;160;-140;ROLL_LEFT;46,7161220958662
16;160;-140;ROLL_RIGHT;-39,5199600678451
16;160;-140;NO_ACTION;-22,7556384854966
17;160;-140;ROLL_LEFT;37,6338293946864
17;160;-140;ROLL_RIGHT;-41,8898443939296
17;160;-140;NO_ACTION;-36,2917528128509
19;160;-140;ROLL_LEFT;27,1906581239159
19;160;-140;ROLL_RIGHT;-16,7596441634084
19;160;-140;NO_ACTION;-36,0249958039407
21;160;-140;ROLL_LEFT;13,5572116526227
21;160;-140;ROLL_RIGHT;-18,3987914731961
21;160;-140;NO_ACTION;-17,4724661096764
23;160;-140;ROLL_LEFT;6,8479429543135
23;160;-140;ROLL_RIGHT;-9,85070746628902
23;160;-140;NO_ACTION;-10,0000001490116
25;160;-140;ROLL_LEFT;4,64011615827841
25;160;-140;ROLL_RIGHT;0
25;160;-140;NO_ACTION;-19,0980115428408
25;-180;-140;ROLL_LEFT;0
25;-180;-140;ROLL_RIGHT;0
25;-180;-140;NO_ACTION;-0,300000004470348
23;-180;-140;ROLL_LEFT;-1,05431322207858
23;-180;-140;ROLL_RIGHT;-0,646554924646062
23;-180;-140;NO_ACTION;-0,570000001341104
21;-200;-140;ROLL_LEFT;-0,684553804238708
21;-200;-140;ROLL_RIGHT;-0,568630930334148
21;-200;-140;NO_ACTION;-0,656467054492412
16;-200;-140;ROLL_LEFT;-1,06019997845739
16;-200;-140;ROLL_RIGHT;-0,509750430549863
16;-200;-140;NO_ACTION;-1,26919186004963
11;-180;-140;ROLL_LEFT;-0,503736218907314
11;-180;-140;ROLL_RIGHT;0,572866519062149
