Distance;Current_Velocity;Target_Velocity;Move;Value
20;-160;0;ROLL_LEFT;-1,64893822474715
20;-160;0;ROLL_RIGHT;8,96503408306917
20;-160;0;NO_ACTION;-0,0999500285454487
17;-140;0;ROLL_LEFT;-1,38930619246219
17;-140;0;ROLL_RIGHT;20,1330751748623
17;-140;0;NO_ACTION;24,8615100831835
16;-140;0;ROLL_LEFT;-1,17416555595831
16;-140;0;ROLL_RIGHT;7,94330035221266
16;-140;0;NO_ACTION;59,1984539186408
14;-140;0;ROLL_LEFT;8,59752131200346
14;-140;0;ROLL_RIGHT;6,514154066446
14;-140;0;NO_ACTION;105,85456070588
12;-140;0;ROLL_LEFT;-0,64094140756122
12;-140;0;ROLL_RIGHT;174,417654030685
12;-140;0;NO_ACTION;39,9868217986198
10;-140;0;ROLL_LEFT;6,79533754204761
10;-140;0;ROLL_RIGHT;237,004359075361
10;-140;0;NO_ACTION;18,8922633213815
8;-140;0;ROLL_LEFT;-1,13687638903171
8;-140;0;ROLL_RIGHT;146,096727064912
8;-140;0;NO_ACTION;-1,10103704651203
6;-140;0;ROLL_LEFT;13,0737379580652
6;-140;0;ROLL_RIGHT;100,380015433547
6;-140;0;NO_ACTION;-1,2086144399978
5;-120;0;ROLL_LEFT;-0,211875305202797
5;-120;0;ROLL_RIGHT;247,966508128048
5;-120;0;NO_ACTION;25,2684808327232
3;-120;0;ROLL_LEFT;5,00675793963998
3;-120;0;ROLL_RIGHT;1,24994708829761
3;-120;0;NO_ACTION;-0,273487450991063
2;-120;0;ROLL_LEFT;-0,887244886906843
2;-120;0;ROLL_RIGHT;74,8184066197391
2;-120;0;NO_ACTION;-0,683964217934905
0;120;0;ROLL_LEFT;6,74181093812562
0;120;0;ROLL_RIGHT;-0,696622103034275
0;120;0;NO_ACTION;-0,545447698384957
2;120;0;ROLL_LEFT;-0,992397728569371
2;120;0;ROLL_RIGHT;-1,13306130349557
2;120;0;NO_ACTION;-1,11640952569851
4;100;0;ROLL_LEFT;0,0481255263706616
4;100;0;ROLL_RIGHT;-1,06928897183313
4;100;0;NO_ACTION;-1,04076715729552
5;100;0;ROLL_LEFT;-1,20479974359808
5;100;0;ROLL_RIGHT;-1,13203363880773
5;100;0;NO_ACTION;-1,12053249856101
6;100;0;ROLL_LEFT;-1,43576316488232
6;100;0;ROLL_RIGHT;-1,46414872261723
6;100;0;NO_ACTION;-1,51779540054951
8;100;0;ROLL_LEFT;-1,537668919672
8;100;0;ROLL_RIGHT;-1,51897437302425
8;100;0;NO_ACTION;-1,47156976310444
9;100;0;ROLL_LEFT;-1,65096783011445
9;100;0;ROLL_RIGHT;-1,4536911708635
9;100;0;NO_ACTION;-1,5183287988316
10;120;0;ROLL_LEFT;-1,15556377268092
10;120;0;ROLL_RIGHT;-1,18711942798936
10;120;0;NO_ACTION;-1,23157249744021
12;120;0;ROLL_LEFT;-1,24597838613062
12;120;0;ROLL_RIGHT;-1,21941534359506
12;120;0;NO_ACTION;-1,3186993732588
13;120;0;ROLL_LEFT;-1,49493280296957
13;120;0;ROLL_RIGHT;-1,51274614347872
13;120;0;NO_ACTION;-1,4100849319397
15;140;0;ROLL_LEFT;-1,27046151353489
15;140;0;ROLL_RIGHT;-1,17852977318382
15;140;0;NO_ACTION;-1,25372774624563
17;140;0;ROLL_LEFT;-1,41415690265076
17;140;0;ROLL_RIGHT;-1,38561307332701
17;140;0;NO_ACTION;-1,38894857850953
20;140;0;ROLL_LEFT;-0,992585355288301
20;140;0;ROLL_RIGHT;-0,988836312284584
20;140;0;NO_ACTION;-0,972783583222123
20;-180;0;ROLL_LEFT;1,47500768492504
20;-180;0;ROLL_RIGHT;8,05563309527138
20;-180;0;NO_ACTION;-1,47902159894648
18;-180;0;ROLL_LEFT;0,46832719042988
18;-180;0;ROLL_RIGHT;17,7022222303115
18;-180;0;NO_ACTION;1,71172393553091
15;-180;0;ROLL_LEFT;0,287505620931337
15;-180;0;ROLL_RIGHT;15,544312367706
15;-180;0;NO_ACTION;3,20077685175585
13;-180;0;ROLL_LEFT;-1,48541034979888
13;-180;0;ROLL_RIGHT;41,0729709365099
13;-180;0;NO_ACTION;3,65152344547837
10;-180;0;ROLL_LEFT;-1,74668847575784
10;-180;0;ROLL_RIGHT;2,00383557241487
10;-180;0;NO_ACTION;-1,62009351732416
8;-180;0;ROLL_LEFT;-1,7809368271833
8;-180;0;ROLL_RIGHT;-1,76847823774722
8;-180;0;NO_ACTION;-1,72669405636418
6;-180;0;ROLL_LEFT;-1,39894059262136
6;-180;0;ROLL_RIGHT;-1,34538405013167
6;-180;0;NO_ACTION;-1,3090442338676
3;-180;0;ROLL_LEFT;-1,3966608238252
3;-180;0;ROLL_RIGHT;-1,39153277653574
3;-180;0;NO_ACTION;-1,41051048591832
1;-160;0;ROLL_LEFT;-1,40662891770713
1;-160;0;ROLL_RIGHT;-1,35798104984586
1;-160;0;NO_ACTION;-1,37502347713761
1;160;0;ROLL_LEFT;-1,37353159499867
1;160;0;ROLL_RIGHT;-1,41112803714842
1;160;0;NO_ACTION;-1,29702646744801
4;180;0;ROLL_LEFT;-1,5765050825701
4;180;0;ROLL_RIGHT;-1,581617605164
4;180;0;NO_ACTION;-1,51642072422849
6;180;0;ROLL_LEFT;-1,57175059167146
6;180;0;ROLL_RIGHT;-1,49907909975132
6;180;0;NO_ACTION;-1,55124608413207
8;180;0;ROLL_LEFT;-1,41155123501069
8;180;0;ROLL_RIGHT;-1,46829385793488
8;180;0;NO_ACTION;-1,49706054743353
12;180;0;ROLL_LEFT;-1,42445171849244
