Distance;Current_Velocity;Target_Velocity;Move;Value
67;20;0;ROLL_LEFT;-0,341836166099001
67;20;0;ROLL_RIGHT;-0,385947991527915
67;20;0;NO_ACTION;-0,767226331475421
67;0;0;ROLL_LEFT;-0,668405272066332
67;0;0;ROLL_RIGHT;-0,795537154785633
67;0;0;NO_ACTION;-0,752623919754765
68;20;0;ROLL_LEFT;-0,976011802648157
68;20;0;ROLL_RIGHT;-0,400455090625928
68;20;0;NO_ACTION;-0,523728977465831
68;40;0;ROLL_LEFT;-0,296775096776904
68;40;0;ROLL_RIGHT;-0,100000001490116
68;40;0;NO_ACTION;-0,190000000447035
69;20;0;ROLL_LEFT;-0,330280866175628
69;20;0;ROLL_RIGHT;-0,476190995977002
69;20;0;NO_ACTION;-0,961624163771033
69;0;0;ROLL_LEFT;-1,13269368648014
69;0;0;ROLL_RIGHT;-1,42455469210423
69;0;0;NO_ACTION;-0,961946132003663
69;-20;0;ROLL_LEFT;-0,847745418294143
69;-20;0;ROLL_RIGHT;-0,95976592486075
69;-20;0;NO_ACTION;-1,22369703372465
68;-20;0;ROLL_LEFT;-0,593615753994963
68;-20;0;ROLL_RIGHT;-0,894007628703002
68;-20;0;NO_ACTION;-0,537060199059328
67;-20;0;ROLL_LEFT;-0,649042652452446
67;-20;0;ROLL_RIGHT;-0,588145022509126
67;-20;0;NO_ACTION;-0,549090071464966
67;-40;0;ROLL_LEFT;-0,44353898594074
67;-40;0;ROLL_RIGHT;-0,446365885054699
67;-40;0;NO_ACTION;-0,657765051647692
66;-40;0;ROLL_LEFT;-0,467856383365701
66;-40;0;ROLL_RIGHT;-0,518470719465765
66;-40;0;NO_ACTION;-0,442279576139568
66;-20;0;ROLL_LEFT;-0,538380192432295
66;-20;0;ROLL_RIGHT;-0,448479985273406
66;-20;0;NO_ACTION;-0,993601344272591
65;-20;0;ROLL_LEFT;-0,37792899191536
65;-20;0;ROLL_RIGHT;-0,72353315951336
65;-20;0;NO_ACTION;-0,42971654778942
64;-20;0;ROLL_LEFT;-0,296775096776904
64;-20;0;ROLL_RIGHT;-0,480551771389989
64;-20;0;NO_ACTION;-0,343899992655218
