Distance;Current_Velocity;Target_Velocity;Move;Value
55;0;0;ROLL_LEFT;-1,61370499688107
55;0;0;ROLL_RIGHT;-1,85738144033571
55;0;0;NO_ACTION;-1,52646250527745
56;0;0;ROLL_LEFT;-1,40720355501004
56;0;0;ROLL_RIGHT;-1,59573834831727
56;0;0;NO_ACTION;-1,83622566471555
56;20;0;ROLL_LEFT;-0,675555273320866
56;20;0;ROLL_RIGHT;-0,550136403259592
56;20;0;NO_ACTION;-0,522095470626143
57;0;0;ROLL_LEFT;-0,474434932436199
57;0;0;ROLL_RIGHT;-1,08934625961722
57;0;0;NO_ACTION;-0,494303979549185
57;20;0;ROLL_LEFT;-0,919163835093739
57;20;0;ROLL_RIGHT;-0,487059333598652
57;20;0;NO_ACTION;-0,654770497836652
57;-20;0;ROLL_LEFT;-0,377425492230281
57;-20;0;ROLL_RIGHT;-0,693680928572288
57;-20;0;NO_ACTION;-0,643561160559556
56;-20;0;ROLL_LEFT;-1,20554676553949
56;-20;0;ROLL_RIGHT;-1,20914679498773
56;-20;0;NO_ACTION;-1,15716126019422
56;-40;0;ROLL_LEFT;-0,766331562491727
56;-40;0;ROLL_RIGHT;-0,742021455688951
56;-40;0;NO_ACTION;-0,79070942050931
55;-40;0;ROLL_LEFT;-1,23003082770112
55;-40;0;ROLL_RIGHT;-1,0737556881817
55;-40;0;NO_ACTION;-1,20376676930272
54;-40;0;ROLL_LEFT;-0,968093537770193
54;-40;0;ROLL_RIGHT;-1,00294698137491
54;-40;0;NO_ACTION;-1,1959311879725
54;-60;0;ROLL_LEFT;-0,851576390496035
54;-60;0;ROLL_RIGHT;-0,861086505754244
54;-60;0;NO_ACTION;-0,886949652664121
53;-40;0;ROLL_LEFT;-0,916126796143476
53;-40;0;ROLL_RIGHT;-0,739541125542224
53;-40;0;NO_ACTION;-1,0047071617708
52;-40;0;ROLL_LEFT;-0,939507415344174
52;-40;0;ROLL_RIGHT;-0,680386881063
52;-40;0;NO_ACTION;-0,639309509833789
52;-60;0;ROLL_LEFT;-0,880304740599209
52;-60;0;ROLL_RIGHT;-0,756115804620958
52;-60;0;NO_ACTION;-0,724885547864583
51;-40;0;ROLL_LEFT;-0,991457092523838
51;-40;0;ROLL_RIGHT;-1,13275508665445
51;-40;0;NO_ACTION;-0,968674775778317
51;-20;0;ROLL_LEFT;-1,19325406751675
51;-20;0;ROLL_RIGHT;-2,12557565711188
51;-20;0;NO_ACTION;-1,4512411521516
50;-20;0;ROLL_LEFT;-1,1049257682366
50;-20;0;ROLL_RIGHT;-1,40332833228044
50;-20;0;NO_ACTION;-1,3354749281241
49;-20;0;ROLL_LEFT;-0,797727073486961
49;-20;0;ROLL_RIGHT;-1,24481839562714
49;-20;0;NO_ACTION;-0,912107720864262
48;-20;0;ROLL_LEFT;-0,755065408349148
48;-20;0;ROLL_RIGHT;-0,966397176054054
48;-20;0;NO_ACTION;-0,721012840762735
48;-40;0;ROLL_LEFT;-0,909774704968064
48;-40;0;ROLL_RIGHT;-1,00660753323028
48;-40;0;NO_ACTION;-0,898760557428313
47;-40;0;ROLL_LEFT;-0,93479904463524
47;-40;0;ROLL_RIGHT;-0,714741841287164
47;-40;0;NO_ACTION;-0,787223211850373
46;-60;0;ROLL_LEFT;-0,858455354827841
46;-60;0;ROLL_RIGHT;-0,834784771972955
46;-60;0;NO_ACTION;-0,845644909236279
44;-80;0;ROLL_LEFT;-0,64194980521953
44;-80;0;ROLL_RIGHT;-0,812274527944461
44;-80;0;NO_ACTION;-0,713330409928441
43;-80;0;ROLL_LEFT;-0,565317959709119
43;-80;0;ROLL_RIGHT;-0,543185063802241
43;-80;0;NO_ACTION;-0,581476018113268
42;-80;0;ROLL_LEFT;-0,434984613396088
42;-80;0;ROLL_RIGHT;-0,462652530252248
42;-80;0;NO_ACTION;-0,539756874132426
41;-60;0;ROLL_LEFT;-1,04909053648671
41;-60;0;ROLL_RIGHT;-0,909389320900866
41;-60;0;NO_ACTION;-0,886527417000241
40;-60;0;ROLL_LEFT;-0,981318203518023
40;-60;0;ROLL_RIGHT;-1,02990939126943
40;-60;0;NO_ACTION;-0,946221965498327
39;-80;0;ROLL_LEFT;-0,871741473081111
39;-80;0;ROLL_RIGHT;-0,859751688992483
39;-80;0;NO_ACTION;-0,775189515664589
38;-80;0;ROLL_LEFT;-0,85162039467327
38;-80;0;ROLL_RIGHT;-0,86332111689456
38;-80;0;NO_ACTION;-0,796012121665058
37;-80;0;ROLL_LEFT;-0,68743523342391
37;-80;0;ROLL_RIGHT;-0,710427393354426
37;-80;0;NO_ACTION;-0,715185072508856
36;-80;0;ROLL_LEFT;-0,718675366911425
