Distance;Current_Velocity;Target_Velocity;Move;Value;Times
25;-200;-160;ROLL_LEFT;61,5887525858166;116
25;-200;-160;ROLL_RIGHT;48,3101951342343;46
17;-200;-160;ROLL_LEFT;78,1052463194798;38
17;-200;-160;ROLL_RIGHT;113,389328369356;127
12;-180;-160;ROLL_LEFT;147,922923601205;215
12;-180;-160;ROLL_RIGHT;136,194013576143;49
10;-180;-160;ROLL_LEFT;145,81537380289;72
10;-180;-160;ROLL_RIGHT;154,636604657414;204
5;-180;-160;ROLL_LEFT;233,366029007482;174
5;-180;-160;ROLL_RIGHT;194,074975392683;85
3;-180;-160;ROLL_LEFT;142,801681395794;123
3;-180;-160;ROLL_RIGHT;289,914602697766;115
1;-160;-160;ROLL_LEFT;500;1
1;-160;-160;ROLL_RIGHT;500;1
22;-200;-160;ROLL_LEFT;87,0322568741223;112
22;-200;-160;ROLL_RIGHT;61,2137594062108;50
20;-200;-160;ROLL_LEFT;105,242392785387;158
20;-200;-160;ROLL_RIGHT;73,8716561815087;42
8;-180;-160;ROLL_LEFT;123,681136483652;21
8;-180;-160;ROLL_RIGHT;148,68148462466;202
6;-180;-160;ROLL_LEFT;159,87125261889;148
6;-180;-160;ROLL_RIGHT;148,521236643589;92
3;-160;-160;ROLL_LEFT;232,900170507867;118
3;-160;-160;ROLL_RIGHT;305,524866266772;337
15;-40;160;ROLL_LEFT;153,521103754432;503
15;-40;160;ROLL_RIGHT;41,6514145473761;74
14;-60;160;ROLL_LEFT;147,086319514902;502
14;-60;160;ROLL_RIGHT;35,1134437192435;76
13;-40;160;ROLL_LEFT;150,918545885178;574
13;-40;160;ROLL_RIGHT;41,1671891781563;100
12;-20;160;ROLL_LEFT;154,910058785488;541
12;-20;160;ROLL_RIGHT;44,0830406218056;103
12;0;160;ROLL_LEFT;159,331877184554;539
12;0;160;ROLL_RIGHT;47,7209600646703;97
12;-40;160;ROLL_LEFT;151,400151385222;575
12;-40;160;ROLL_RIGHT;40,5191846319954;110
11;-40;160;ROLL_LEFT;148,791144583236;585
11;-40;160;ROLL_RIGHT;38,7829473439715;97
10;-60;160;ROLL_LEFT;143,154551715376;594
10;-60;160;ROLL_RIGHT;34,0399181799705;101
