Geometry Friends Agents
World: ;Rectangle2019
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;2;2;11,3;120;381
2;1;3;3;15,9;120;474
3;1;3;3;16,8;120;472
4;1;3;3;17,5;120;471
5;1;2;2;4,6;120;392
6;1;3;3;12,8;120;479
7;1;2;2;9;120;385
8;1;2;2;13,1;120;378
9;1;3;3;8,3;120;486
10;1;2;2;5,5;120;391
Geometry Friends Agents
World: ;Rectangle2019
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;2;2;11,3;120;1506
2;1;3;3;12,6;120;1795
3;1;3;3;17,4;120;1755
4;1;3;3;17,5;120;1755
5;1;2;2;4,8;120;1560
6;1;3;3;12,8;120;1794
7;1;2;2;9;120;1525
8;1;2;2;19,2;120;1440
9;1;3;3;7;120;1842
10;1;2;2;7,7;120;1536
