Distance_x;Distance_y;Current_velocity_x;Height;Hole_width;Action;Value
-5;7;20;6;15;MOVE_LEFT;-3,88632347225443
-5;7;20;6;15;MOVE_RIGHT;-3,86497675219213
-5;7;20;6;15;MORPH_UP;-3,71708145855832
-5;7;20;6;15;MORPH_DOWN;-3,88624880148434
-5;7;20;6;15;NO_ACTION;-4,2250169821641
-5;9;10;8;15;MOVE_LEFT;-3,42541009988059
-5;9;10;8;15;MOVE_RIGHT;-3,39787244387445
-5;9;10;8;15;MORPH_UP;-3,46601009991944
-5;9;10;8;15;MORPH_DOWN;-3,45773113738356
-5;9;10;8;15;NO_ACTION;-3,43712508099823
-5;9;20;8;15;MOVE_LEFT;-3,32468799429007
-5;9;20;8;15;MOVE_RIGHT;-3,19516100520516
-5;9;20;8;15;MORPH_UP;-3,33177804566702
-5;9;20;8;15;MORPH_DOWN;-3,20758024501914
-5;9;20;8;15;NO_ACTION;-3,32041848287673
-4;9;0;8;15;MOVE_LEFT;-2,64230590457277
-4;9;0;8;15;MOVE_RIGHT;-2,72190925330137
-4;9;0;8;15;MORPH_UP;-2,8074300680735
-4;9;0;8;15;MORPH_DOWN;-2,6268013901637
-4;9;0;8;15;NO_ACTION;-2,61703670286574
-4;7;0;7;15;MOVE_LEFT;-0,28557932346366
-4;7;0;7;15;MOVE_RIGHT;-0,410202447148247
-4;7;0;7;15;MORPH_UP;-0,242413589455543
-4;7;0;7;15;MORPH_DOWN;-0,286823847586299
-4;7;0;7;15;NO_ACTION;-0,406439330831011
-4;7;-20;6;15;MOVE_LEFT;-1,68913816047632
-4;7;-20;6;15;MOVE_RIGHT;-1,83941420649588
-4;7;-20;6;15;MORPH_UP;-1,76583187708372
-4;7;-20;6;15;MORPH_DOWN;-1,91415611635232
-4;7;-20;6;15;NO_ACTION;-1,85272770541562
-5;7;0;6;15;MOVE_LEFT;-3,5996856214312
-5;7;0;6;15;MOVE_RIGHT;-3,78859705220176
-5;7;0;6;15;MORPH_UP;-3,60141697082313
-5;7;0;6;15;MORPH_DOWN;-3,70034677148314
-5;7;0;6;15;NO_ACTION;-3,8801912105249
-5;10;0;9;15;MOVE_LEFT;-2,62203134089659
