Sub Goal A Star Agents
World: ;GF 2015 Rectangle Track
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;2;3;3;15,8;30;394
2;2;0;3;60;60;0
3;2;1;3;60;60;100
4;2;1,5;4;45;90;150
5;2;0;4;90;90;0
Sub Goal A Star Agents
World: ;GF 2015 Rectangle Track
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;3;3;15;30;400
2;1;0;3;60;60;0
3;1;1;3;60;60;100
4;1;3;4;90;90;300

Sub Goal A Star Agents
World: ;Cooperative 2014 Competition
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;1;0;3;90;90;0
2;1;1;3;90;90;100
3;1;0;2;35;35;0
4;1;0;5;110;110;0






Sub Goal A Star Agents
World: ;GF-CoG 2019 - Rectangle Track
level;runs;collectibles average;collectibles available;time average;time limit;score average



4;2;3;3;44,6;120;426

6;2;3;3;63,4;120;394
7;2;0,5;2;60;120;50
8;2;0;2;60;120;0
9;2;0;3;60;120;0
10;2;0;2;60;120;0
