Distance;Current_Velocity;Target_Velocity;Move;Value
30;-200;20;ROLL_LEFT;-0,242826864957548
30;-200;20;ROLL_RIGHT;-0,389626595995643
30;-200;20;NO_ACTION;-0,438077030402333
27;-200;20;ROLL_LEFT;-0,431074040281746
27;-200;20;ROLL_RIGHT;-0,362064560801395
27;-200;20;NO_ACTION;-0,530437885688529
24;-200;20;ROLL_LEFT;-0,496876419567635
24;-200;20;ROLL_RIGHT;-0,446011914785728
24;-200;20;NO_ACTION;-0,475753732692988
22;-200;20;ROLL_LEFT;-0,527809226110615
22;-200;20;ROLL_RIGHT;-0,431042020551685
22;-200;20;NO_ACTION;-0,400238330015807
19;-180;20;ROLL_LEFT;-0,711255798492745
19;-180;20;ROLL_RIGHT;-0,680026888184555
19;-180;20;NO_ACTION;-0,76406626452631
17;-160;20;ROLL_LEFT;-0,628487674562494
17;-160;20;ROLL_RIGHT;-0,656018161190941
17;-160;20;NO_ACTION;-0,68313240211111
15;-160;20;ROLL_LEFT;-0,479309234132817
15;-160;20;ROLL_RIGHT;-0,503698461430327
15;-160;20;NO_ACTION;-0,560182457378081
13;-140;20;ROLL_LEFT;-0,316507623689987
13;-140;20;ROLL_RIGHT;-0,495271025744165
13;-140;20;NO_ACTION;-0,30782199710004
11;-140;20;ROLL_LEFT;-0,318608059248211
11;-140;20;ROLL_RIGHT;-0,388322680825393
11;-140;20;NO_ACTION;-0,395729131154388
9;-140;20;ROLL_LEFT;-0,464744456081348
9;-140;20;ROLL_RIGHT;-0,500607306238895
9;-140;20;NO_ACTION;-0,410860978477408
7;-140;20;ROLL_LEFT;-0,413376233931113
7;-140;20;ROLL_RIGHT;-0,510475387699979
7;-140;20;NO_ACTION;-0,496234925691101
5;-140;20;ROLL_LEFT;-0,579370353723343
5;-140;20;ROLL_RIGHT;-0,543927732204578
5;-140;20;NO_ACTION;-0,612567387158763
4;-120;20;ROLL_LEFT;-0,382767348304696
4;-120;20;ROLL_RIGHT;-0,399476952363653
4;-120;20;NO_ACTION;-0,290038234967008
2;-100;20;ROLL_LEFT;-0,383174669174346
2;-100;20;ROLL_RIGHT;-0,407245440424286
2;-100;20;NO_ACTION;-0,390272662928384
1;-100;20;ROLL_LEFT;-0,323092296351013
1;-100;20;ROLL_RIGHT;-0,417299027915591
1;-100;20;NO_ACTION;-0,351190095482536
1;100;-20;ROLL_LEFT;-0,413377838926336
1;100;-20;ROLL_RIGHT;-0,432701825345027
1;100;-20;NO_ACTION;-0,325318695497773
2;80;-20;ROLL_LEFT;-0,388314964448589
2;80;-20;ROLL_RIGHT;-0,388680637075145
2;80;-20;NO_ACTION;-0,380893038706995
3;80;-20;ROLL_LEFT;-0,306154746909682
3;80;-20;ROLL_RIGHT;-0,318762386747512
3;80;-20;NO_ACTION;-0,291012957523415
4;60;-20;ROLL_LEFT;-0,289049997447431
4;60;-20;ROLL_RIGHT;-0,28986224744184
4;60;-20;NO_ACTION;-0,379191374968528
5;60;-20;ROLL_LEFT;-0,200488238130525
5;60;-20;ROLL_RIGHT;-0,210744832873708
