Distance;Current_Velocity;Target_Velocity;Move;Value
30;-200;20;ROLL_LEFT;-0,411971483303691
30;-200;20;ROLL_RIGHT;-0,52357177298855
30;-200;20;NO_ACTION;-0,563517601831258
27;-200;20;ROLL_LEFT;-0,9078041854731
27;-200;20;ROLL_RIGHT;-0,859121272420088
27;-200;20;NO_ACTION;-0,863779814291547
24;-200;20;ROLL_LEFT;-0,769199350675484
24;-200;20;ROLL_RIGHT;-0,932544180261024
24;-200;20;NO_ACTION;-0,787116173836225
22;-200;20;ROLL_LEFT;-0,622144192451353
22;-200;20;ROLL_RIGHT;-0,722335559500853
22;-200;20;NO_ACTION;-0,604856130452119
19;-180;20;ROLL_LEFT;-1,17185060950127
19;-180;20;ROLL_RIGHT;-1,12619727422835
19;-180;20;NO_ACTION;-1,12332326635763
17;-160;20;ROLL_LEFT;-1,01889149194794
17;-160;20;ROLL_RIGHT;-0,927367127263002
17;-160;20;NO_ACTION;-1,08894109496365
15;-160;20;ROLL_LEFT;-0,927300805729797
15;-160;20;ROLL_RIGHT;-0,950382299224043
15;-160;20;NO_ACTION;-0,954359835115113
13;-140;20;ROLL_LEFT;-0,830302613521108
13;-140;20;ROLL_RIGHT;-0,782469341200172
13;-140;20;NO_ACTION;-0,902717765007789
11;-140;20;ROLL_LEFT;-0,732226221397872
11;-140;20;ROLL_RIGHT;-0,710685328513992
11;-140;20;NO_ACTION;-0,803767438268433
9;-140;20;ROLL_LEFT;-0,876425879681965
9;-140;20;ROLL_RIGHT;-0,809012162039901
9;-140;20;NO_ACTION;-0,97868296698134
7;-140;20;ROLL_LEFT;-0,816400625115408
7;-140;20;ROLL_RIGHT;-0,904496260088747
7;-140;20;NO_ACTION;-0,818160366649469
5;-140;20;ROLL_LEFT;-0,961265584729333
5;-140;20;ROLL_RIGHT;-0,889207306515988
5;-140;20;NO_ACTION;-0,900573173569903
4;-120;20;ROLL_LEFT;-0,784556368426823
4;-120;20;ROLL_RIGHT;-0,790529633305784
4;-120;20;NO_ACTION;-0,776409158262924
2;-100;20;ROLL_LEFT;-0,706648053286983
2;-100;20;ROLL_RIGHT;-0,681733719249447
2;-100;20;NO_ACTION;-0,84420287853294
1;-100;20;ROLL_LEFT;-0,438353009759893
1;-100;20;ROLL_RIGHT;-0,522142005948401
