Distance;Current_Velocity;Target_Velocity;Move;Value
25;-200;-120;ROLL_LEFT;-15,1030491139996
25;-200;-120;ROLL_RIGHT;-13,1802607796731
25;-200;-120;NO_ACTION;-13,1065740822221
10;-200;-120;ROLL_LEFT;-3,84750000976026
10;-200;-120;ROLL_RIGHT;-2,49270944597746
10;-200;-120;NO_ACTION;-4,09957841439381
7;-200;-120;ROLL_LEFT;-2,00000002980232
7;-200;-120;ROLL_RIGHT;-1,31197193158688
7;-200;-120;NO_ACTION;-0,611343151684121
5;-200;-120;ROLL_LEFT;-3,25406297554848
5;-200;-120;ROLL_RIGHT;-2,6939434515926
5;-200;-120;NO_ACTION;-2,48720915026391
2;-200;-120;ROLL_LEFT;-3,00807398292557
2;-200;-120;ROLL_RIGHT;4,35852967973428
2;-200;-120;NO_ACTION;-0,500000007450581
0;200;120;ROLL_LEFT;4,51996254108576
0;200;120;ROLL_RIGHT;-0,368431167883833
0;200;120;NO_ACTION;-0,547500008270144
5;180;120;ROLL_LEFT;40,0893332291502
5;180;120;ROLL_RIGHT;-2,69251140440323
5;180;120;NO_ACTION;-0,726846741742145
10;200;120;ROLL_LEFT;7,24823595044938
10;200;120;ROLL_RIGHT;0
10;200;120;NO_ACTION;-2,10885391761391
12;200;120;ROLL_LEFT;1,99500000610947
12;200;120;ROLL_RIGHT;0
12;200;120;NO_ACTION;-1,68424586780522
15;200;120;ROLL_LEFT;2,27109617007888
15;200;120;ROLL_RIGHT;-3,61137750814725
15;200;120;NO_ACTION;-3,94743671861855
20;180;120;ROLL_LEFT;3,67472890099321
20;180;120;ROLL_RIGHT;-5,04863086759251
20;180;120;NO_ACTION;-1,80500000283122
22;160;120;ROLL_LEFT;2,39677152787027
22;160;120;ROLL_RIGHT;-3,89025000936538
22;160;120;NO_ACTION;-1,36655803504988
21;-200;120;ROLL_LEFT;-7,07675697395607
21;-200;120;ROLL_RIGHT;-0,719573389173649
21;-200;120;NO_ACTION;-7,73506365084507
19;-200;120;ROLL_LEFT;-4,2599799749907
19;-200;120;ROLL_RIGHT;-2,35847246443986
19;-200;120;NO_ACTION;3,87073244215636
17;-180;120;ROLL_LEFT;-3,67373096457947
17;-180;120;ROLL_RIGHT;5,47533116354722
17;-180;120;NO_ACTION;-1,90074771180298
14;-180;120;ROLL_LEFT;8,63288899383279
14;-180;120;ROLL_RIGHT;10,7505969508425
