Distance;Current_Velocity;Target_Velocity;Move;Value;Times
7;-200;-160;ROLL_LEFT;7,50071514163421;8
7;-200;-160;ROLL_RIGHT;35,2289483197627;44
7;-200;-160;NO_ACTION;22,5224692213851;9
0;200;160;ROLL_LEFT;10,4258387134906;9
0;200;160;ROLL_RIGHT;55,1489352659573;61
0;200;160;NO_ACTION;25,537746082518;10
16;80;160;ROLL_LEFT;96,175007965371;108
16;80;160;ROLL_RIGHT;-25,0732196497936;10
16;80;160;NO_ACTION;-28,8775514912888;13
24;-200;160;ROLL_LEFT;83,9977768427001;60
24;-200;160;ROLL_RIGHT;-44,3728955964805;9
24;-200;160;NO_ACTION;-29,61087787262;6
21;-200;160;ROLL_LEFT;65,6268526327223;37
21;-200;160;ROLL_RIGHT;-34,8245479074292;8
21;-200;160;NO_ACTION;-21,0566382676205;3
17;-200;160;ROLL_LEFT;105,411413422401;85
17;-200;160;ROLL_RIGHT;-24,4722783338005;8
17;-200;160;NO_ACTION;-46,9803450444472;8
14;-200;160;ROLL_LEFT;109,288717582239;96
14;-200;160;ROLL_RIGHT;-24,9550107009668;15
14;-200;160;NO_ACTION;-28,706537515109;8
12;-180;160;ROLL_LEFT;111,227538313048;86
12;-180;160;ROLL_RIGHT;-21,0560119134707;7
12;-180;160;NO_ACTION;-24,7656974110175;12
10;-160;160;ROLL_LEFT;111,447682199923;98
10;-160;160;ROLL_RIGHT;-25,3515510966847;14
10;-160;160;NO_ACTION;-25,3590085059466;9
8;-180;160;ROLL_LEFT;110,621344752178;122
8;-180;160;ROLL_RIGHT;-16,9223672331179;19
8;-180;160;NO_ACTION;-9,22463590149203;19
5;-180;160;ROLL_LEFT;110,944526604636;150
5;-180;160;ROLL_RIGHT;-9,99693682017892;18
5;-180;160;NO_ACTION;-13,2878789003064;14
3;-180;160;ROLL_LEFT;61,4025307698283;15
3;-180;160;ROLL_RIGHT;101,778279223234;152
3;-180;160;NO_ACTION;83,9294125070286;26
1;-180;160;ROLL_LEFT;-5,53604531723413;26
1;-180;160;ROLL_RIGHT;112,656260564477;192
1;-180;160;NO_ACTION;-13,6674417655584;28
1;200;-160;ROLL_LEFT;105,881515577453;230
1;200;-160;ROLL_RIGHT;-10,1549967997697;18
1;200;-160;NO_ACTION;-7,79257953077107;27
4;200;-160;ROLL_LEFT;98,1872586158054;113
4;200;-160;ROLL_RIGHT;-16,0710830826809;24
4;200;-160;NO_ACTION;-18,3392412351891;11
6;200;-160;ROLL_LEFT;85,5021463407905;100
6;200;-160;ROLL_RIGHT;-39,0286583890541;14
6;200;-160;NO_ACTION;-26,6068688948744;12
9;200;-160;ROLL_LEFT;70,8320686743727;41
9;200;-160;ROLL_RIGHT;-25,5928257965608;6
9;200;-160;NO_ACTION;-14,3949206403153;5
11;200;-160;ROLL_LEFT;39,1611341023178;24
11;200;-160;ROLL_RIGHT;-27,4897437009184;4
11;200;-160;NO_ACTION;-17,7480167763808;3
14;200;-160;ROLL_LEFT;28,4110235289122;14
14;200;-160;ROLL_RIGHT;-22,0502453677787;3
14;200;-160;NO_ACTION;-35,2504425775635;5
16;200;-160;ROLL_LEFT;11,3928581929989;8
16;200;-160;ROLL_RIGHT;-9,04351760147169;1
16;200;-160;NO_ACTION;-20,5983080148678;3
18;180;-160;ROLL_LEFT;39,3486546123375;41
18;180;-160;ROLL_RIGHT;-49,634626790796;8
18;180;-160;NO_ACTION;-42,4147502328857;7
21;200;-160;ROLL_LEFT;12,2050256928471;8
21;200;-160;ROLL_RIGHT;-9,84471153636196;1
21;200;-160;NO_ACTION;-42,7333127230099;6
23;200;-160;ROLL_LEFT;1,40394443610758;1
23;200;-160;ROLL_RIGHT;-14,2400192789841;2
23;200;-160;NO_ACTION;-26,4023798045957;3
24;-200;-160;ROLL_LEFT;10,6027090888369;15
24;-200;-160;ROLL_RIGHT;-1,36774330236792;11
24;-200;-160;NO_ACTION;18,7550296221289;46
22;-200;-160;ROLL_LEFT;16,9943058768464;30
22;-200;-160;ROLL_RIGHT;10,1745986562254;31
22;-200;-160;NO_ACTION;29,9940027751819;55
1;200;160;ROLL_LEFT;8,49416854656642;7
1;200;160;ROLL_RIGHT;8,5432400626764;6
1;200;160;NO_ACTION;41,6995699413432;39
10;160;160;ROLL_LEFT;84,2981658909123;107
10;160;160;ROLL_RIGHT;-49,5701223464221;14
10;160;160;NO_ACTION;-38,4515178200044;10
13;140;160;ROLL_LEFT;83,2257477505223;101
13;140;160;ROLL_RIGHT;-32,9037868050384;11
13;140;160;NO_ACTION;-34,521726314477;16
20;60;160;ROLL_LEFT;92,3245417494023;97
20;60;160;ROLL_RIGHT;-35,5463536688972;12
20;60;160;NO_ACTION;-34,2254252081437;16
24;60;160;ROLL_LEFT;80,1122525402774;106
24;60;160;ROLL_RIGHT;-35,1438278998426;15
24;60;160;NO_ACTION;-38,2248162581059;19
17;-160;160;ROLL_LEFT;96,6238362987538;68
17;-160;160;ROLL_RIGHT;-6,89774073774495;4
17;-160;160;NO_ACTION;-16,3596891675509;7
6;-200;160;ROLL_LEFT;101,147220640482;125
6;-200;160;ROLL_RIGHT;70,7805461290696;19
6;-200;160;NO_ACTION;65,9405149198411;15
4;-200;160;ROLL_LEFT;-11,811364771954;18
4;-200;160;ROLL_RIGHT;115,138294896706;146
4;-200;160;NO_ACTION;-7,39681963750094;18
3;200;-160;ROLL_LEFT;106,486313992367;170
3;200;-160;ROLL_RIGHT;-8,87307576917471;24
3;200;-160;NO_ACTION;-13,6703521214113;25
13;200;-160;ROLL_LEFT;32,0453779590476;19
13;200;-160;ROLL_RIGHT;-21,6003663363584;3
13;200;-160;NO_ACTION;-20,6861900649297;3
18;200;-160;ROLL_LEFT;14,4348578192883;13
18;200;-160;ROLL_RIGHT;-9,8005906991451;1
18;200;-160;NO_ACTION;-18,8666253229594;2
12;-200;-160;ROLL_LEFT;26,7119754629659;10
12;-200;-160;ROLL_RIGHT;21,4392358495088;16
12;-200;-160;NO_ACTION;60,1303056919943;55
10;-200;-160;ROLL_LEFT;55,3089554276118;62
10;-200;-160;ROLL_RIGHT;34,0330723489642;10
10;-200;-160;NO_ACTION;9,33505557113161;5
1;-160;-160;ROLL_LEFT;500;1
1;-160;-160;ROLL_RIGHT;500;1
1;-160;-160;NO_ACTION;500;1
11;0;-160;ROLL_LEFT;-20,5859870667334;202
11;0;-160;ROLL_RIGHT;87,6808428768293;1707
11;0;-160;NO_ACTION;-21,0110709631779;215
11;20;-160;ROLL_LEFT;-20,5070425604068;122
11;20;-160;ROLL_RIGHT;81,2252859767856;1309
11;20;-160;NO_ACTION;-25,7593696939289;161
11;40;-160;ROLL_LEFT;-22,4165980386625;159
11;40;-160;ROLL_RIGHT;88,4364907554864;1109
11;40;-160;NO_ACTION;-27,6281042573078;122
12;20;-160;ROLL_LEFT;50,2865748020447;344
12;20;-160;ROLL_RIGHT;54,8760237192913;991
12;20;-160;NO_ACTION;52,7717046400688;408
12;0;-160;ROLL_LEFT;42,1489843524496;529
12;0;-160;ROLL_RIGHT;43,3728007910877;1507
12;0;-160;NO_ACTION;39,0370516663479;589
12;-20;-160;ROLL_LEFT;40,674661063749;794
12;-20;-160;ROLL_RIGHT;41,4993274688375;1431
12;-20;-160;NO_ACTION;41,6337978784218;1345
11;-20;-160;ROLL_LEFT;59,8160934552551;492
11;-20;-160;ROLL_RIGHT;59,4248946516915;1382
11;-20;-160;NO_ACTION;58,9392644328739;961
10;-20;-160;ROLL_LEFT;65,8886781952073;501
10;-20;-160;ROLL_RIGHT;78,075750822968;1090
10;-20;-160;NO_ACTION;64,1885195313978;748
10;-40;-160;ROLL_LEFT;56,5686341349266;717
10;-40;-160;ROLL_RIGHT;58,3754304517879;1310
10;-40;-160;NO_ACTION;53,4093085419999;639
