Distance;Current_Velocity;Target_Velocity;Move;Value
25;-200;-100;ROLL_LEFT;-0,570000001341104
25;-200;-100;ROLL_RIGHT;-0,598500001832843
25;-200;-100;NO_ACTION;-0,867149992342293
10;-200;-100;ROLL_LEFT;-0,300000004470348
10;-200;-100;ROLL_RIGHT;0
10;-200;-100;NO_ACTION;-0,570000001341104
7;-200;-100;ROLL_LEFT;0
7;-200;-100;ROLL_RIGHT;-0,300000004470348
7;-200;-100;NO_ACTION;-1,03169997796565
5;-200;-100;ROLL_LEFT;-0,300000004470348
5;-200;-100;ROLL_RIGHT;-1,12971147610299
5;-200;-100;NO_ACTION;-0,300000004470348
2;-200;-100;ROLL_LEFT;-0,857274741998423
2;-200;-100;ROLL_RIGHT;-0,890234991517514
2;-200;-100;NO_ACTION;-0,300000004470348
0;180;100;ROLL_LEFT;0
0;180;100;ROLL_RIGHT;-0,300000004470348
0;180;100;NO_ACTION;-0,300000004470348
3;180;100;ROLL_LEFT;1,28357738808521
3;180;100;ROLL_RIGHT;-18,8780601925485
3;180;100;NO_ACTION;-18,7925601933383
5;180;100;ROLL_LEFT;0
5;180;100;ROLL_RIGHT;-10,0000001490116
5;180;100;NO_ACTION;-34,1832713768999
7;180;100;ROLL_LEFT;1,00000001490116
7;180;100;ROLL_RIGHT;-19,0000000447035
7;180;100;NO_ACTION;-26,6362674048744
12;200;100;ROLL_LEFT;0
12;200;100;ROLL_RIGHT;-10,0000001490116
12;200;100;NO_ACTION;-10,0000001490116
14;200;100;ROLL_LEFT;0
14;200;100;ROLL_RIGHT;-10,0000001490116
14;200;100;NO_ACTION;0
17;200;100;ROLL_LEFT;2,19336117569312
17;200;100;ROLL_RIGHT;0
17;200;100;NO_ACTION;-10,0000001490116
19;200;100;ROLL_LEFT;0
19;200;100;ROLL_RIGHT;0
19;200;100;NO_ACTION;-9,90500014737249
22;200;100;ROLL_LEFT;1,00000001490116
22;200;100;ROLL_RIGHT;0
22;200;100;NO_ACTION;0
24;200;100;ROLL_LEFT;0
24;200;100;ROLL_RIGHT;0
24;200;100;NO_ACTION;-9,90500014737249
23;-200;100;ROLL_LEFT;2,00497853377026
23;-200;100;ROLL_RIGHT;0
23;-200;100;NO_ACTION;0
21;-200;100;ROLL_LEFT;2,98456072237302
21;-200;100;ROLL_RIGHT;0
21;-200;100;NO_ACTION;-10,0000001490116
19;-200;100;ROLL_LEFT;3,1932744643464
19;-200;100;ROLL_RIGHT;0
19;-200;100;NO_ACTION;-10,0000001490116
16;-200;100;ROLL_LEFT;0
16;-200;100;ROLL_RIGHT;-9,90500014737249
16;-200;100;NO_ACTION;1,11214751666132
11;-200;100;ROLL_LEFT;0
11;-200;100;ROLL_RIGHT;2,98459747184608
11;-200;100;NO_ACTION;-9,89597514719553
9;-180;100;ROLL_LEFT;0
9;-180;100;ROLL_RIGHT;1,98550000368059
9;-180;100;NO_ACTION;0
6;-180;100;ROLL_LEFT;-9,90500014737249
6;-180;100;ROLL_RIGHT;2,89049997447431
6;-180;100;NO_ACTION;0
4;-160;100;ROLL_LEFT;-19,0000000447035
4;-160;100;ROLL_RIGHT;7,07918985076987
4;-160;100;NO_ACTION;-10,0000001490116
2;-160;100;ROLL_LEFT;-10,0000001490116
2;-160;100;ROLL_RIGHT;0
2;-160;100;NO_ACTION;-26,9375497397885
0;-140;100;ROLL_LEFT;-9,71732076353795
0;-140;100;ROLL_RIGHT;3,92499987171754
0;-140;100;NO_ACTION;-10,0000001490116
1;140;-100;ROLL_LEFT;5,07588582997899
1;140;-100;ROLL_RIGHT;-9,89502088461979
1;140;-100;NO_ACTION;-10,0000001490116
3;160;-100;ROLL_LEFT;0
3;160;-100;ROLL_RIGHT;0
3;160;-100;NO_ACTION;-9,90500014737249
5;160;-100;ROLL_LEFT;1,00000001490116
5;160;-100;ROLL_RIGHT;0
5;160;-100;NO_ACTION;0
9;160;-100;ROLL_LEFT;1,09500001654029
9;160;-100;ROLL_RIGHT;0
9;160;-100;NO_ACTION;-10,0000001490116
11;140;-100;ROLL_LEFT;1,00000001490116
11;140;-100;ROLL_RIGHT;-10,0000001490116
11;140;-100;NO_ACTION;-9,8951177721767
12;140;-100;ROLL_LEFT;3,68528886679479
12;140;-100;ROLL_RIGHT;0
12;140;-100;NO_ACTION;0
14;140;-100;ROLL_LEFT;1,09500001654029
14;140;-100;ROLL_RIGHT;0
14;140;-100;NO_ACTION;0
16;140;-100;ROLL_LEFT;1,90000000447035
16;140;-100;ROLL_RIGHT;0
16;140;-100;NO_ACTION;0
18;140;-100;ROLL_LEFT;1,00000001490116
18;140;-100;ROLL_RIGHT;-9,90500014737249
18;140;-100;NO_ACTION;-10,0000001490116
19;120;-100;ROLL_LEFT;0
19;120;-100;ROLL_RIGHT;0
19;120;-100;NO_ACTION;-10,0000001490116
21;100;-100;ROLL_LEFT;0
21;100;-100;ROLL_RIGHT;0
21;100;-100;NO_ACTION;-9,89597514719553
22;100;-100;ROLL_LEFT;3,15247600576226
22;100;-100;ROLL_RIGHT;0
22;100;-100;NO_ACTION;0
23;100;-100;ROLL_LEFT;1,87150000397861
23;100;-100;ROLL_RIGHT;0
23;100;-100;NO_ACTION;0
23;-120;-100;ROLL_LEFT;0
23;-120;-100;ROLL_RIGHT;-0,300000004470348
23;-120;-100;NO_ACTION;-0,300000004470348
21;-140;-100;ROLL_LEFT;0
21;-140;-100;ROLL_RIGHT;-0,300000004470348
21;-140;-100;NO_ACTION;-0,570000001341104
20;-120;-100;ROLL_LEFT;-0,570000001341104
20;-120;-100;ROLL_RIGHT;0
20;-120;-100;NO_ACTION;0
18;-120;-100;ROLL_LEFT;0
18;-120;-100;ROLL_RIGHT;0
18;-120;-100;NO_ACTION;-0,300000004470348
17;-100;-100;ROLL_LEFT;0
17;-100;-100;ROLL_RIGHT;0
17;-100;-100;NO_ACTION;-0,812999992087483
16;-120;-100;ROLL_LEFT;0
16;-120;-100;ROLL_RIGHT;-0,300000004470348
16;-120;-100;NO_ACTION;-0,570000001341104
14;-120;-100;ROLL_LEFT;0
14;-120;-100;ROLL_RIGHT;0
14;-120;-100;NO_ACTION;-0,300000004470348
13;-120;-100;ROLL_LEFT;0
13;-120;-100;ROLL_RIGHT;-0,300000004470348
13;-120;-100;NO_ACTION;0
11;-100;-100;ROLL_LEFT;-0,328500004962087
11;-100;-100;ROLL_RIGHT;-0,300000004470348
11;-100;-100;NO_ACTION;-0,570000001341104
10;-100;-100;ROLL_LEFT;-0,570000001341104
10;-100;-100;ROLL_RIGHT;-0,578617439732743
10;-100;-100;NO_ACTION;-0,570000001341104
8;-80;-100;ROLL_LEFT;-0,889831666782833
8;-80;-100;ROLL_RIGHT;0,0783832177548155
8;-80;-100;NO_ACTION;-0,805079051014786
7;-60;-100;ROLL_LEFT;-1,09561048064505
7;-60;-100;ROLL_RIGHT;0,969616217670229
7;-60;-100;NO_ACTION;15,3353087120874
6;-40;-100;ROLL_LEFT;48,5768279310237
6;-40;-100;ROLL_RIGHT;75,3521702281845
6;-40;-100;NO_ACTION;54,4897354046967
5;-60;-100;ROLL_LEFT;3,71867816284487
5;-60;-100;ROLL_RIGHT;17,507580884092
5;-60;-100;NO_ACTION;4,58035117768223
4;-40;-100;ROLL_LEFT;-36,5967181660071
4;-40;-100;ROLL_RIGHT;48,8624192640197
4;-40;-100;NO_ACTION;-23,093078657721
2;-60;-100;ROLL_LEFT;-9,90500014737249
2;-60;-100;ROLL_RIGHT;16,7521855004334
2;-60;-100;NO_ACTION;-45,5975603049747
1;-60;-100;ROLL_LEFT;-10,0285001495033
1;-60;-100;ROLL_RIGHT;7,23721148718699
1;-60;-100;NO_ACTION;-18,8995002447831
0;60;100;ROLL_LEFT;-0,695969999709427
0;60;100;ROLL_RIGHT;-0,823217242150452
0;60;100;NO_ACTION;-0,652107330471534
1;40;100;ROLL_LEFT;-1,46735247686599
1;40;100;ROLL_RIGHT;-0,966243471621957
1;40;100;NO_ACTION;-0,812999992087483
1;60;100;ROLL_LEFT;-0,580884944903399
1;60;100;ROLL_RIGHT;-0,842245944624299
1;60;100;NO_ACTION;-1,01765117787352
3;60;100;ROLL_LEFT;4,0707896737643
3;60;100;ROLL_RIGHT;0
3;60;100;NO_ACTION;-19,0000000447035
4;60;100;ROLL_LEFT;4,30784184886487
4;60;100;ROLL_RIGHT;-10,0000001490116
4;60;100;NO_ACTION;-10,0000001490116
5;60;100;ROLL_LEFT;1,09500001654029
5;60;100;ROLL_RIGHT;0
5;60;100;NO_ACTION;-10,0000001490116
6;60;100;ROLL_LEFT;3,2953064725726
6;60;100;ROLL_RIGHT;-33,5561630025341
6;60;100;NO_ACTION;-18,8229661001519
7;60;100;ROLL_LEFT;4,55927775352799
7;60;100;ROLL_RIGHT;0
7;60;100;NO_ACTION;0
8;80;100;ROLL_LEFT;3,80667078690195
8;80;100;ROLL_RIGHT;0
