Distance;Current_Velocity;Target_Velocity;Move;Value;Times
25;-200;-160;ROLL_LEFT;-0,300000004470348;1
25;-200;-160;ROLL_RIGHT;0;0
25;-200;-160;NO_ACTION;-0,300000004470348;1
22;-200;-160;ROLL_LEFT;-0,328500004962087;1
22;-200;-160;ROLL_RIGHT;0;0
22;-200;-160;NO_ACTION;-0,570000001341104;2
19;-200;-160;ROLL_LEFT;-0,300000004470348;1
19;-200;-160;ROLL_RIGHT;-0,300000004470348;1
19;-200;-160;NO_ACTION;-0,570000001341104;2
17;-200;-160;ROLL_LEFT;-0,328500004962087;1
17;-200;-160;ROLL_RIGHT;0;0
17;-200;-160;NO_ACTION;-0,300000004470348;1
14;-200;-160;ROLL_LEFT;-0,300000004470348;1
14;-200;-160;ROLL_RIGHT;-0,300000004470348;1
14;-200;-160;NO_ACTION;-0,598500001832842;2
12;-200;-160;ROLL_LEFT;-0,328029130210146;1
12;-200;-160;ROLL_RIGHT;-0,300000004470348;1
12;-200;-160;NO_ACTION;-0,300000004470348;1
9;-180;-160;ROLL_LEFT;0;0
9;-180;-160;ROLL_RIGHT;-0,300000004470348;1
9;-180;-160;NO_ACTION;-0,290739404637544;1
7;-160;-160;ROLL_LEFT;-0,300000004470348;1
7;-160;-160;ROLL_RIGHT;0,838593983286323;1
7;-160;-160;NO_ACTION;-0,300000004470348;1
5;-140;-160;ROLL_LEFT;0;0
5;-140;-160;ROLL_RIGHT;-0,300000004470348;1
5;-140;-160;NO_ACTION;-0,300000004470348;1
3;-140;-160;ROLL_LEFT;0;0
3;-140;-160;ROLL_RIGHT;-0,592863382151466;2
3;-140;-160;NO_ACTION;-0,570000001341104;2
1;-120;-160;ROLL_LEFT;-0,300000004470348;1
1;-120;-160;ROLL_RIGHT;-0,528023247675942;2
1;-120;-160;NO_ACTION;-0,587658311500674;2
0;120;160;ROLL_LEFT;-0,300000004470348;1
0;120;160;ROLL_RIGHT;-0,296850582406837;1
0;120;160;NO_ACTION;-0,570000001341104;2
2;140;160;ROLL_LEFT;1,28618897844201;1
2;140;160;ROLL_RIGHT;-9,81950014816225;1
2;140;160;NO_ACTION;-26,7570497389391;3
4;120;160;ROLL_LEFT;3,92863662189288;4
4;120;160;ROLL_RIGHT;0;0
4;120;160;NO_ACTION;-10,0000001490116;1
5;120;160;ROLL_LEFT;4,0847997598254;4
5;120;160;ROLL_RIGHT;-9,90500014737249;1
5;120;160;NO_ACTION;-18,7340000446439;2
7;120;160;ROLL_LEFT;1,90000000447035;2
7;120;160;ROLL_RIGHT;-10,0000001490116;1
7;120;160;NO_ACTION;0;0
9;120;160;ROLL_LEFT;0;0
9;120;160;ROLL_RIGHT;-10,0000001490116;1
9;120;160;NO_ACTION;-10,0000001490116;1
10;120;160;ROLL_LEFT;0;0
10;120;160;ROLL_RIGHT;-10,0000001490116;1
10;120;160;NO_ACTION;-10,0000001490116;1
12;140;160;ROLL_LEFT;2,15745000257045;2
12;140;160;ROLL_RIGHT;0;0
12;140;160;NO_ACTION;-9,90500014737249;1
14;140;160;ROLL_LEFT;1,90000000447035;2
14;140;160;ROLL_RIGHT;0;0
14;140;160;NO_ACTION;0;0
15;140;160;ROLL_LEFT;1,00000001490116;1
15;140;160;ROLL_RIGHT;0;0
15;140;160;NO_ACTION;-10,0000001490116;1
17;120;160;ROLL_LEFT;0;0
17;120;160;ROLL_RIGHT;-10,0000001490116;1
17;120;160;NO_ACTION;-9,90500014737249;1
19;140;160;ROLL_LEFT;1,10496384236305;1
19;140;160;ROLL_RIGHT;0;0
19;140;160;NO_ACTION;-9,90500014737249;1
21;140;160;ROLL_LEFT;2,00488238130525;2
21;140;160;ROLL_RIGHT;0;0
21;140;160;NO_ACTION;0;0
22;140;160;ROLL_LEFT;0;0
22;140;160;ROLL_RIGHT;0;0
22;140;160;NO_ACTION;-10,0000001490116;1
24;120;160;ROLL_LEFT;0;0
24;120;160;ROLL_RIGHT;-10,0000001490116;1
24;120;160;NO_ACTION;0;0
25;-140;160;ROLL_LEFT;0;0
25;-140;160;ROLL_RIGHT;-10,0000001490116;1
25;-140;160;NO_ACTION;0;0
23;-140;160;ROLL_LEFT;0;0
23;-140;160;ROLL_RIGHT;-9,81950014816225;1
23;-140;160;NO_ACTION;-9,90500014737249;1
21;-140;160;ROLL_LEFT;2,70999997362494;3
21;-140;160;ROLL_RIGHT;0;0
21;-140;160;NO_ACTION;0;0
19;-140;160;ROLL_LEFT;0;0
19;-140;160;ROLL_RIGHT;-10,0000001490116;1
19;-140;160;NO_ACTION;-9,88054239749543;1
17;-140;160;ROLL_LEFT;1,25745001300126;1
17;-140;160;ROLL_RIGHT;0;0
17;-140;160;NO_ACTION;-9,90500014737249;1
15;-140;160;ROLL_LEFT;2,70999997362494;3
15;-140;160;ROLL_RIGHT;0;0
15;-140;160;NO_ACTION;-10,0000001490116;1
14;-140;160;ROLL_LEFT;0;0
14;-140;160;ROLL_RIGHT;0;0
14;-140;160;NO_ACTION;-10,0000001490116;1
12;-140;160;ROLL_LEFT;0;0
12;-140;160;ROLL_RIGHT;-9,90500014737249;1
12;-140;160;NO_ACTION;-9,81950014816225;1
10;-140;160;ROLL_LEFT;1,90000000447035;2
10;-140;160;ROLL_RIGHT;0;0
10;-140;160;NO_ACTION;0;0
8;-140;160;ROLL_LEFT;0;0
8;-140;160;ROLL_RIGHT;0;0
8;-140;160;NO_ACTION;-19,0000000447035;2
6;-140;160;ROLL_LEFT;1,09500001654029;1
6;-140;160;ROLL_RIGHT;-19,0000000447035;2
6;-140;160;NO_ACTION;-10,0000001490116;1
4;-140;160;ROLL_LEFT;2,50209878807733;2
4;-140;160;ROLL_RIGHT;-10,0000001490116;1
4;-140;160;NO_ACTION;-10,0000001490116;1
2;-140;160;ROLL_LEFT;3,82110815437721;4
2;-140;160;ROLL_RIGHT;-9,69566577295156;1
2;-140;160;NO_ACTION;-10,0000001490116;1
0;-120;160;ROLL_LEFT;4,54026763953681;5
0;-120;160;ROLL_RIGHT;-9,90500014737249;1
0;-120;160;NO_ACTION;-18,6580548909742;2
1;120;-160;ROLL_LEFT;-18,5110004065969;2
1;120;-160;ROLL_RIGHT;5,2949445087643;7
1;120;-160;NO_ACTION;-9,71266721857844;1
3;120;-160;ROLL_LEFT;-19,0528555541416;2
3;120;-160;ROLL_RIGHT;3,93134058495221;4
3;120;-160;NO_ACTION;-10,0000001490116;1
5;120;-160;ROLL_LEFT;-1,08831383871064;4
5;120;-160;ROLL_RIGHT;-0,787110176138747;3
5;120;-160;NO_ACTION;-0,542856522798447;4
6;140;-160;ROLL_LEFT;8,40837420724644;8
6;140;-160;ROLL_RIGHT;-18,3595461324603;2
6;140;-160;NO_ACTION;-26,067888688055;3
8;140;-160;ROLL_LEFT;8,96920626628925;6
8;140;-160;ROLL_RIGHT;-9,8951177721767;1
8;140;-160;NO_ACTION;-9,73454542742703;1
10;140;-160;ROLL_LEFT;9,4712434769593;10
10;140;-160;ROLL_RIGHT;0;0
10;140;-160;NO_ACTION;0;0
12;140;-160;ROLL_LEFT;5,81815984917675;6
12;140;-160;ROLL_RIGHT;0;0
12;140;-160;NO_ACTION;0;0
14;140;-160;ROLL_LEFT;3,94802002905959;4
14;140;-160;ROLL_RIGHT;-9,89597514719553;1
14;140;-160;NO_ACTION;-19,0000000447035;2
16;120;-160;ROLL_LEFT;4,37260634079731;4
16;120;-160;ROLL_RIGHT;0;0
16;120;-160;NO_ACTION;-10,0000001490116;1
17;100;-160;ROLL_LEFT;5,56103056387099;5
17;100;-160;ROLL_RIGHT;-18,602274241434;2
17;100;-160;NO_ACTION;-18,7911465838514;2
18;100;-160;ROLL_LEFT;7,53896796694925;7
18;100;-160;ROLL_RIGHT;-26,7273971475608;3
18;100;-160;NO_ACTION;-18,5898327149327;2
20;100;-160;ROLL_LEFT;3,92213250328383;4
20;100;-160;ROLL_RIGHT;0;0
20;100;-160;NO_ACTION;0;0
21;100;-160;ROLL_LEFT;2,40832193048486;2
21;100;-160;ROLL_RIGHT;0;0
21;100;-160;NO_ACTION;-10,0000001490116;1
22;80;-160;ROLL_LEFT;7,6652902423426;7
22;80;-160;ROLL_RIGHT;-9,8943461346802;1
22;80;-160;NO_ACTION;-10,0000001490116;1
23;60;-160;ROLL_LEFT;7,51122051461183;8
23;60;-160;ROLL_RIGHT;-26,2940539213992;3
23;60;-160;NO_ACTION;-9,7694420846769;1
24;60;-160;ROLL_LEFT;5,6520852104353;5
24;60;-160;ROLL_RIGHT;0;0
24;60;-160;NO_ACTION;-18,9050000430644;2
25;40;-160;ROLL_LEFT;5,6608160526185;7
25;40;-160;ROLL_RIGHT;0;0
25;40;-160;NO_ACTION;-19,0541500449583;2
25;-40;-160;ROLL_LEFT;-0,598500001832843;2
25;-40;-160;ROLL_RIGHT;-0,576970297383774;2
25;-40;-160;NO_ACTION;-1,08828672820369;4
25;-60;-160;ROLL_LEFT;-0,598086751087401;2
25;-60;-160;ROLL_RIGHT;-0,598500001832843;2
25;-60;-160;NO_ACTION;-0,601207501885928;2
24;-60;-160;ROLL_LEFT;-0,328500004962087;1
24;-60;-160;ROLL_RIGHT;-0,598500001832843;2
24;-60;-160;NO_ACTION;-0,890234991517514;3
23;-60;-160;ROLL_LEFT;-0,812999992087483;3
23;-60;-160;ROLL_RIGHT;-0,300000004470348;1
23;-60;-160;NO_ACTION;-0,328500004962087;1
23;-40;-160;ROLL_LEFT;-0,841499992579221;3
23;-40;-160;ROLL_RIGHT;0,0141665481636327;4
23;-40;-160;NO_ACTION;-0,841499992579221;3
22;-40;-160;ROLL_LEFT;-0,602334947571756;2
22;-40;-160;ROLL_RIGHT;1,6453932914214;3
22;-40;-160;NO_ACTION;-0,841499992579221;3
22;-20;-160;ROLL_LEFT;1,23875707630064;6
