Distance;Current_Velocity;Target_Velocity;Move;Value
24;-200;40;ROLL_LEFT;10,2458903967642
24;-200;40;ROLL_RIGHT;9,08343386988248
24;-200;40;NO_ACTION;11,9868754877038
1;200;-40;ROLL_LEFT;73,8326501675745
1;200;-40;ROLL_RIGHT;77,7252219291141
1;200;-40;NO_ACTION;86,7948282528673
5;200;-40;ROLL_LEFT;94,996405240865
5;200;-40;ROLL_RIGHT;58,3115800946397
5;200;-40;NO_ACTION;63,6453865143225
8;180;-40;ROLL_LEFT;95,9574848489526
8;180;-40;ROLL_RIGHT;61,1908409358962
8;180;-40;NO_ACTION;71,0637540603889
12;160;-40;ROLL_LEFT;86,98300482215
12;160;-40;ROLL_RIGHT;50,8946142839657
12;160;-40;NO_ACTION;64,4394237548428
14;180;-40;ROLL_LEFT;60,704671528833
14;180;-40;ROLL_RIGHT;25,373962618495
14;180;-40;NO_ACTION;37,6086782894598
18;180;-40;ROLL_LEFT;39,8815772292167
18;180;-40;ROLL_RIGHT;2,53177172701033
18;180;-40;NO_ACTION;6,42896593245607
21;200;-40;ROLL_LEFT;15,8105341144406
21;200;-40;ROLL_RIGHT;-14,116601697848
21;200;-40;NO_ACTION;-6,3538128925828
23;200;-40;ROLL_LEFT;11,872870787321
23;200;-40;ROLL_RIGHT;-15,997140000359
23;200;-40;NO_ACTION;-15,3516404761829
23;-200;-40;ROLL_LEFT;-21,1128790798767
23;-200;-40;ROLL_RIGHT;-6,01896751561674
23;-200;-40;NO_ACTION;-1,07036164172468
21;-200;-40;ROLL_LEFT;-16,3297614816527
21;-200;-40;ROLL_RIGHT;6,58955300684523
21;-200;-40;NO_ACTION;1,34181399803858
18;-200;-40;ROLL_LEFT;-14,3202289830933
18;-200;-40;ROLL_RIGHT;7,03195346749142
18;-200;-40;NO_ACTION;4,54013427546723
16;-200;-40;ROLL_LEFT;-7,81336496377445
16;-200;-40;ROLL_RIGHT;13,6265671737666
16;-200;-40;NO_ACTION;2,11971010928105
13;-200;-40;ROLL_LEFT;-9,38304277381463
13;-200;-40;ROLL_RIGHT;-3,71888431280165
13;-200;-40;NO_ACTION;4,5839941710364
11;-200;-40;ROLL_LEFT;-12,8066829763585
11;-200;-40;ROLL_RIGHT;6,71237583564034
11;-200;-40;NO_ACTION;-7,45758471866451
9;-200;-40;ROLL_LEFT;-9,26973088218683
9;-200;-40;ROLL_RIGHT;-4,87218516751336
9;-200;-40;NO_ACTION;2,48971984815815
6;-200;-40;ROLL_LEFT;-5,41121050506984
6;-200;-40;ROLL_RIGHT;5,54262704143571
6;-200;-40;NO_ACTION;-4,29574582100962
1;-180;-40;ROLL_LEFT;-2,71567723461729
1;-180;-40;ROLL_RIGHT;9,97948505960495
1;-180;-40;NO_ACTION;35,8320195153322
3;160;40;ROLL_LEFT;73,01218719231
3;160;40;ROLL_RIGHT;7,73608175633987
3;160;40;NO_ACTION;18,3061191032431
5;160;40;ROLL_LEFT;70,7425023459823
5;160;40;ROLL_RIGHT;9,8733065410418
5;160;40;NO_ACTION;18,3619991178764
7;180;40;ROLL_LEFT;46,6216009074508
7;180;40;ROLL_RIGHT;0,583622263965072
7;180;40;NO_ACTION;0,859538650326458
9;180;40;ROLL_LEFT;45,5835793910343
9;180;40;ROLL_RIGHT;0,0662410838224984
9;180;40;NO_ACTION;5,76309158453571
12;200;40;ROLL_LEFT;9,27147861396389
12;200;40;ROLL_RIGHT;0
12;200;40;NO_ACTION;-1,7743237973391
17;200;40;ROLL_LEFT;2,03733755441479
17;200;40;ROLL_RIGHT;0
17;200;40;NO_ACTION;-1,90000000447035
19;180;40;ROLL_LEFT;2,85608949078252
19;180;40;ROLL_RIGHT;-1,90951252825167
19;180;40;NO_ACTION;-1,80500000283122
21;180;40;ROLL_LEFT;1,08553438212745
21;180;40;ROLL_RIGHT;-1,90500002816319
21;180;40;NO_ACTION;-0,810475013874844
23;180;40;ROLL_LEFT;1,99500000610948
23;180;40;ROLL_RIGHT;0
23;180;40;NO_ACTION;-1,00000001490116
23;-180;40;ROLL_LEFT;-1,39774998641759
23;-180;40;ROLL_RIGHT;-1,8527493516521
23;-180;40;NO_ACTION;-2,80087408062523
19;-200;40;ROLL_LEFT;20,7960939618666
19;-200;40;ROLL_RIGHT;22,5524893726669
19;-200;40;NO_ACTION;20,9950621602006
14;-200;40;ROLL_LEFT;35,905282877864
14;-200;40;ROLL_RIGHT;39,2856341466819
14;-200;40;NO_ACTION;34,2402349927987
9;-180;40;ROLL_LEFT;55,3893750245871
9;-180;40;ROLL_RIGHT;51,4380708114841
9;-180;40;NO_ACTION;51,5007698866282
7;-180;40;ROLL_LEFT;58,9915872314574
7;-180;40;ROLL_RIGHT;60,2105823300021
7;-180;40;NO_ACTION;63,461284241437
5;-180;40;ROLL_LEFT;67,4736184576236
5;-180;40;ROLL_RIGHT;73,5276442206484
5;-180;40;NO_ACTION;69,9000143360917
2;-180;40;ROLL_LEFT;78,9398763525041
2;-180;40;ROLL_RIGHT;83,0188427658645
2;-180;40;NO_ACTION;79,2492252783733
0;-180;40;ROLL_LEFT;86,2400890560181
0;-180;40;ROLL_RIGHT;94,1478047399867
0;-180;40;NO_ACTION;85,8596440612317
2;160;-40;ROLL_LEFT;98,8859810552964
2;160;-40;ROLL_RIGHT;107,827673246092
2;160;-40;NO_ACTION;98,8612773397954
4;140;-40;ROLL_LEFT;124,146440650966
