Distance;Current_Velocity;Target_Velocity;Move;Value
22;-200;100;ROLL_LEFT;151,116123707829
22;-200;100;ROLL_RIGHT;40,5365786801117
22;-200;100;NO_ACTION;39,7159939440569
4;-200;100;ROLL_LEFT;28,0005082629181
4;-200;100;ROLL_RIGHT;141,087604466433
4;-200;100;NO_ACTION;22,0428817601849
2;-200;100;ROLL_LEFT;3,95210813371003
2;-200;100;ROLL_RIGHT;126,537464737136
2;-200;100;NO_ACTION;5,11304041178035
3;200;-100;ROLL_LEFT;96,4482408437344
3;200;-100;ROLL_RIGHT;-20,617727968215
3;200;-100;NO_ACTION;-26,6981406227305
5;200;-100;ROLL_LEFT;76,0480272028226
5;200;-100;ROLL_RIGHT;-45,8611261672979
5;200;-100;NO_ACTION;-41,3097562387774
8;200;-100;ROLL_LEFT;63,2830795140811
8;200;-100;ROLL_RIGHT;-44,8306599198144
8;200;-100;NO_ACTION;-52,3054442400604
10;200;-100;ROLL_LEFT;58,8071400370198
10;200;-100;ROLL_RIGHT;-43,7256757509373
10;200;-100;NO_ACTION;-49,7117269579869
13;200;-100;ROLL_LEFT;42,5672598750488
13;200;-100;ROLL_RIGHT;-46,802474377692
13;200;-100;NO_ACTION;-34,6820436182321
15;200;-100;ROLL_LEFT;35,9463916836159
15;200;-100;ROLL_RIGHT;-44,1062850235439
15;200;-100;NO_ACTION;-45,3014794017201
18;200;-100;ROLL_LEFT;27,7426070994723
18;200;-100;ROLL_RIGHT;-57,146167387246
18;200;-100;NO_ACTION;-46,7365746856639
20;200;-100;ROLL_LEFT;20,1430031258924
20;200;-100;ROLL_RIGHT;-47,6627442186046
20;200;-100;NO_ACTION;-51,9372032983963
23;200;-100;ROLL_LEFT;11,9711624946005
23;200;-100;ROLL_RIGHT;-19,4860905328442
23;200;-100;NO_ACTION;-39,2525091053697
23;-200;-100;ROLL_LEFT;-3,47427165101436
23;-200;-100;ROLL_RIGHT;-3,74301931136817
23;-200;-100;NO_ACTION;-1,27073933393638
18;-200;-100;ROLL_LEFT;-2,50513597987732
18;-200;-100;ROLL_RIGHT;4,24234427588495
18;-200;-100;NO_ACTION;-1,27569872335777
16;-200;-100;ROLL_LEFT;-2,72301519847173
16;-200;-100;ROLL_RIGHT;7,30623642234882
16;-200;-100;NO_ACTION;1,71368065081554
13;-200;-100;ROLL_LEFT;14,8611792364522
13;-200;-100;ROLL_RIGHT;-0,637695508824238
13;-200;-100;NO_ACTION;0,95602850761915
8;-200;-100;ROLL_LEFT;1,32618037607681
8;-200;-100;ROLL_RIGHT;5,09920111759623
8;-200;-100;NO_ACTION;-1,82441554335042
6;-200;-100;ROLL_LEFT;2,29345051125285
6;-200;-100;ROLL_RIGHT;22,644753923611
6;-200;-100;NO_ACTION;5,61674535692759
4;-180;-100;ROLL_LEFT;5,85526010548034
4;-180;-100;ROLL_RIGHT;7,79326670497509
4;-180;-100;NO_ACTION;42,908999219366
1;-180;-100;ROLL_LEFT;41,2809475396664
1;-180;-100;ROLL_RIGHT;12,2146908053549
1;-180;-100;NO_ACTION;25,3499394745901
1;180;100;ROLL_LEFT;53,9689982902656
1;180;100;ROLL_RIGHT;16,977405418277
1;180;100;NO_ACTION;25,4068743432091
3;180;100;ROLL_LEFT;64,9939973312677
3;180;100;ROLL_RIGHT;-38,8929085154816
3;180;100;NO_ACTION;-32,59985451243
5;180;100;ROLL_LEFT;61,027365119332
5;180;100;ROLL_RIGHT;-33,5796373967527
5;180;100;NO_ACTION;-35,5110877777571
8;180;100;ROLL_LEFT;51,3289223083641
8;180;100;ROLL_RIGHT;-43,4450148020222
8;180;100;NO_ACTION;-44,257226028566
10;180;100;ROLL_LEFT;44,1182999311976
10;180;100;ROLL_RIGHT;-47,1634270752229
10;180;100;NO_ACTION;-53,6293018863995
12;200;100;ROLL_LEFT;23,1102263329598
12;200;100;ROLL_RIGHT;-15,6881456560946
12;200;100;NO_ACTION;-29,4688356381236
15;200;100;ROLL_LEFT;38,2936781658477
15;200;100;ROLL_RIGHT;-15,7588282183214
15;200;100;NO_ACTION;-19,0000000447035
17;200;100;ROLL_LEFT;16,9977939622873
17;200;100;ROLL_RIGHT;-9,90500014737249
17;200;100;NO_ACTION;-0,348362102116081
20;200;100;ROLL_LEFT;15,365999991767
20;200;100;ROLL_RIGHT;-8,23898480830268
20;200;100;NO_ACTION;0
22;200;100;ROLL_LEFT;11,1163989943564
22;200;100;ROLL_RIGHT;-15,3955278179507
22;200;100;NO_ACTION;-26,1631570070127
24;200;100;ROLL_LEFT;35,8582490794441
24;200;100;ROLL_RIGHT;0
24;200;100;NO_ACTION;-9,90500014737249
24;-200;100;ROLL_LEFT;152,469373362588
24;-200;100;ROLL_RIGHT;42,5744358397124
24;-200;100;NO_ACTION;41,3103352683723
21;-200;100;ROLL_LEFT;149,379003328909
21;-200;100;ROLL_RIGHT;37,8523909388898
21;-200;100;NO_ACTION;38,3965494425858
19;-200;100;ROLL_LEFT;146,936820925838
19;-200;100;ROLL_RIGHT;34,3563652631393
19;-200;100;NO_ACTION;36,3097827502696
14;-200;100;ROLL_LEFT;138,312412429976
14;-200;100;ROLL_RIGHT;144,163035999105
14;-200;100;NO_ACTION;139,84643170291
12;-200;100;ROLL_LEFT;45,4015431412309
12;-200;100;ROLL_RIGHT;157,137996978753
12;-200;100;NO_ACTION;47,2295237650781
9;-180;100;ROLL_LEFT;39,3514041845321
9;-180;100;ROLL_RIGHT;153,362625239095
9;-180;100;NO_ACTION;32,5536623496386
7;-180;100;ROLL_LEFT;42,9352306183223
7;-180;100;ROLL_RIGHT;157,104315961473
7;-180;100;NO_ACTION;42,581424413237
5;-180;100;ROLL_LEFT;44,1315007884567
5;-180;100;ROLL_RIGHT;156,330663222651
5;-180;100;NO_ACTION;42,8504346338586
0;-200;100;ROLL_LEFT;-15,2333746883997
0;-200;100;ROLL_RIGHT;114,774520550759
0;-200;100;NO_ACTION;-3,87483301127794
2;200;-100;ROLL_LEFT;105,565430769999
2;200;-100;ROLL_RIGHT;-30,7666044931115
2;200;-100;NO_ACTION;-28,6404165199093
5;180;-100;ROLL_LEFT;113,889971963513
5;180;-100;ROLL_RIGHT;0,731032159471121
5;180;-100;NO_ACTION;0,0835940228438705
7;180;-100;ROLL_LEFT;99,6005683086774
7;180;-100;ROLL_RIGHT;-14,3459983352116
7;180;-100;NO_ACTION;-12,0203377872485
9;160;-100;ROLL_LEFT;104,176018284489
9;160;-100;ROLL_RIGHT;-4,69721378613635
9;160;-100;NO_ACTION;-9,97413422502676
11;160;-100;ROLL_LEFT;96,7109868384655
11;160;-100;ROLL_RIGHT;-20,4060297464413
11;160;-100;NO_ACTION;-23,6287344994881
13;160;-100;ROLL_LEFT;78,9895324067332
13;160;-100;ROLL_RIGHT;-28,6794213217663
13;160;-100;NO_ACTION;-36,6061385364695
18;160;-100;ROLL_LEFT;44,1460507283828
18;160;-100;ROLL_RIGHT;-53,9911425283317
18;160;-100;NO_ACTION;-51,0430103151138
20;160;-100;ROLL_LEFT;28,7133205780926
20;160;-100;ROLL_RIGHT;-58,8018151310756
20;160;-100;NO_ACTION;-24,3617821744576
24;160;-100;ROLL_LEFT;9,51545688145721
24;160;-100;ROLL_RIGHT;-35,0636401105273
24;160;-100;NO_ACTION;-41,4956706017501
25;140;-100;ROLL_LEFT;6,00051758545337
25;140;-100;ROLL_RIGHT;-78,6397997915538
25;140;-100;NO_ACTION;-70,0640055629391
25;-180;-100;ROLL_LEFT;-5,21295863786957
25;-180;-100;ROLL_RIGHT;-4,94543266339071
25;-180;-100;NO_ACTION;-2,33969343603645
22;-200;-100;ROLL_LEFT;-5,17591590022717
22;-200;-100;ROLL_RIGHT;-2,87926700642259
22;-200;-100;NO_ACTION;3,30649984351349
20;-180;-100;ROLL_LEFT;2,99915173582968
20;-180;-100;ROLL_RIGHT;-4,18093190305562
20;-180;-100;NO_ACTION;-1,48916649935577
18;-180;-100;ROLL_LEFT;-1,27239337512525
18;-180;-100;ROLL_RIGHT;1,03106362599038
18;-180;-100;NO_ACTION;8,05568332409394
15;-180;-100;ROLL_LEFT;14,9052309039881
15;-180;-100;ROLL_RIGHT;1,54375661676206
15;-180;-100;NO_ACTION;2,41132303098992
11;-180;-100;ROLL_LEFT;10,4097229223935
11;-180;-100;ROLL_RIGHT;7,15001643451606
11;-180;-100;NO_ACTION;30,9174729837871
9;-160;-100;ROLL_LEFT;60,3355125795858
9;-160;-100;ROLL_RIGHT;47,1496316180398
9;-160;-100;NO_ACTION;12,7681651180194
5;-160;-100;ROLL_LEFT;28,3336117672459
5;-160;-100;ROLL_RIGHT;54,9081864767206
5;-160;-100;NO_ACTION;71,5231053736605
3;-180;-100;ROLL_LEFT;33,1211130519668
3;-180;-100;ROLL_RIGHT;14,1415673239253
3;-180;-100;NO_ACTION;13,8746313041007
4;180;100;ROLL_LEFT;64,5684481250178
4;180;100;ROLL_RIGHT;-40,0498235344594
4;180;100;NO_ACTION;-32,7357458524485
6;180;100;ROLL_LEFT;71,3530017160882
6;180;100;ROLL_RIGHT;-50,1789938123306
6;180;100;NO_ACTION;-48,1584663099256
11;180;100;ROLL_LEFT;50,6090801943897
11;180;100;ROLL_RIGHT;-42,5481394284164
11;180;100;NO_ACTION;-19,0000000447035
13;180;100;ROLL_LEFT;38,1088588714494
13;180;100;ROLL_RIGHT;-24,2826278238121
13;180;100;NO_ACTION;-42,5164097839679
15;180;100;ROLL_LEFT;17,3324119026217
15;180;100;ROLL_RIGHT;-35,7519102136068
15;180;100;NO_ACTION;-16,9351235810313
17;180;100;ROLL_LEFT;15,6368973582991
17;180;100;ROLL_RIGHT;0
17;180;100;NO_ACTION;-26,4302667792969
20;180;100;ROLL_LEFT;8,82888454653679
20;180;100;ROLL_RIGHT;3,26820464285171
20;180;100;NO_ACTION;-10,0000001490116
22;180;100;ROLL_LEFT;19,3283654111368
22;180;100;ROLL_RIGHT;0
22;180;100;NO_ACTION;-19,8781969721482
24;180;100;ROLL_LEFT;31,089145468839
24;180;100;ROLL_RIGHT;-10,0000001490116
24;180;100;NO_ACTION;-18,2932696478813
25;-180;100;ROLL_LEFT;33,5221969500977
25;-180;100;ROLL_RIGHT;-9,90500014737249
25;-180;100;NO_ACTION;-18,9145000454932
23;-200;100;ROLL_LEFT;152,079569548211
23;-200;100;ROLL_RIGHT;40,9709860067
23;-200;100;NO_ACTION;40,1060306285718
18;-200;100;ROLL_LEFT;148,40964828211
18;-200;100;ROLL_RIGHT;36,4382034321867
18;-200;100;NO_ACTION;35,2233919257032
13;-180;100;ROLL_LEFT;150,515806606631
13;-180;100;ROLL_RIGHT;14,3979185408496
13;-180;100;NO_ACTION;-0,499081910439652
11;-160;100;ROLL_LEFT;141,191828756761
11;-160;100;ROLL_RIGHT;12,9034881609853
11;-160;100;NO_ACTION;1,95978659839388
9;-160;100;ROLL_LEFT;58,0870646910126
9;-160;100;ROLL_RIGHT;134,233546543358
9;-160;100;NO_ACTION;43,663222531535
2;-180;100;ROLL_LEFT;35,2205829098127
2;-180;100;ROLL_RIGHT;145,507829914921
2;-180;100;NO_ACTION;35,1764149563704
2;180;-100;ROLL_LEFT;130,963030630519
