Geometry Friends Agents
World: ;Rectangle2014
level;runs;collectibles average;collectibles available;time average;time limit;score average
1;10;2;2;12,2;40;894
2;10;2;2;6,7;25;931
3;10;3;3;25,7;80;979
4;10;1,8;2;14,3;20;464
5;10;5;5;35,8;90;1102
6;10;3;3;17,2;40;870
7;10;2,7;3;25,3;50;765
8;10;2,4;3;55,5;60;315
9;10;3;3;12,6;35;939
10;10;2;3;30,9;35;317
Geometry Friends Agents
World: ;Rectangle2014
level;runs;collectibles average;collectibles available;time average;time limit;score average
10;10;0,3;3;2,2;35;66
