Distance;Current_Velocity;Target_Velocity;Move;Value
24;-200;20;ROLL_LEFT;149,481952470607
24;-200;20;ROLL_RIGHT;41,5541992351866
24;-200;20;NO_ACTION;41,3837941530146
1;200;-20;ROLL_LEFT;43,6384083948073
1;200;-20;ROLL_RIGHT;-13,0969389290325
1;200;-20;NO_ACTION;-30,8495243977759
5;200;-20;ROLL_LEFT;30,0909678176754
5;200;-20;ROLL_RIGHT;-27,8525566806296
5;200;-20;NO_ACTION;-37,4009975276825
10;200;-20;ROLL_LEFT;38,6237752889795
10;200;-20;ROLL_RIGHT;-37,1082348540979
10;200;-20;NO_ACTION;-25,9551102497887
13;200;-20;ROLL_LEFT;49,1937760101106
13;200;-20;ROLL_RIGHT;-48,8915087947467
13;200;-20;NO_ACTION;-53,1747705562375
15;200;-20;ROLL_LEFT;36,310303830254
15;200;-20;ROLL_RIGHT;-56,3674847792365
15;200;-20;NO_ACTION;-51,1758488266832
18;200;-20;ROLL_LEFT;29,6791507176666
18;200;-20;ROLL_RIGHT;-59,3074517539356
18;200;-20;NO_ACTION;-67,0883668282598
20;200;-20;ROLL_LEFT;22,5239264391847
20;200;-20;ROLL_RIGHT;-57,6860682020661
20;200;-20;NO_ACTION;-50,960434982407
25;200;-20;ROLL_LEFT;28,589532564192
25;200;-20;ROLL_RIGHT;-72,629133676036
25;200;-20;NO_ACTION;-61,4902532970336
25;-200;-20;ROLL_LEFT;1,98007674557065
25;-200;-20;ROLL_RIGHT;16,0922203187584
25;-200;-20;NO_ACTION;0,875506282098901
23;-200;-20;ROLL_LEFT;3,03046834067179
23;-200;-20;ROLL_RIGHT;17,1381231006636
23;-200;-20;NO_ACTION;9,62855414419286
20;-200;-20;ROLL_LEFT;9,84276731858489
20;-200;-20;ROLL_RIGHT;44,9059162187153
20;-200;-20;NO_ACTION;6,30948634786464
18;-200;-20;ROLL_LEFT;8,5977277273078
18;-200;-20;ROLL_RIGHT;24,0731858241576
18;-200;-20;NO_ACTION;9,68808952663812
15;-200;-20;ROLL_LEFT;15,3326761158577
15;-200;-20;ROLL_RIGHT;36,3276635272628
15;-200;-20;NO_ACTION;15,5970206427456
13;-200;-20;ROLL_LEFT;13,3040326373817
13;-200;-20;ROLL_RIGHT;29,3675287471334
13;-200;-20;NO_ACTION;9,17825948217252
11;-200;-20;ROLL_LEFT;22,2686882521897
11;-200;-20;ROLL_RIGHT;21,7873686523219
11;-200;-20;NO_ACTION;39,7192715656059
8;-200;-20;ROLL_LEFT;5,10530293009295
8;-200;-20;ROLL_RIGHT;3,41435598241666
8;-200;-20;NO_ACTION;51,4533232766964
6;-180;-20;ROLL_LEFT;44,1218219154902
6;-180;-20;ROLL_RIGHT;62,3555664730818
6;-180;-20;NO_ACTION;36,4648426800758
