Geometry Friends Agents;;;;;;;;
World: ;Circle2014;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum Score;Porcentaje optimo
1;10;2;2;11,5;20;625;1000;63
2;10;3;3;17,8;45;904;1100;82
3;10;2,9;3;24,2;60;887;1150;77
4;10;4;4;18,7;80;1166;1250;93
5;10;1,6;2;43,1;70;544;986;55
6;10;1,4;2;25,5;40;503;1025;49
7;10;2,9;3;17,3;60;1002;1100;91
8;10;2;3;40;40;200;725;28
9;10;3;3;32,5;80;894;1025;87
10;10;2,2;3;94,4;100;276;1090;25
;;;;;;7001;10451;
