I S T  Agents;;;;;;;;
World: ;Circle2014;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum Score;Porcentaje optimo
1;10;2;2;8;20;797;1000; 80   
2;10;3;3;17;45;922;1100; 84   
3;10;2,8;3;21,4;60;924;1150; 80   
4;10;4;4;20;80;1150;1250; 92   
5;10;2;2;23,1;70;870;986; 88   
6;10;1,8;2;16,8;40;760;1025; 74   
7;10;3;3;16;60;1033;1100; 94   
8;10;3;3;27,3;40;618;725; 85   
9;10;3;3;27,6;80;955;1025; 93   
10;10;3;3;35,1;100;949;1090; 87   
;;;;;;;10451;
