Geometry Friends Agents;;;;;;;;
World: ;Circle2022.1;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum Score;Porcentaje optimo
1;10;4,7;5;46,8;120;2020;2417;84
2;10;2;2;11,9;120;1501;1550;97
3;10;4;4;30,3;120;1948;2092;93
4;10;2;2;19,4;120;1438;1492;96
5;10;2;2;9,9;120;1518;1550;98
6;10;3;4;72,2;120;1298;2100;62
7;10;4,9;5;67,2;120;1910;2342;82
8;10;5;5;33,8;120;2219;2367;94
9;10;5;5;44,5;120;2129;2283;93
10;10;2,3;3;100,3;120;854;1750;49
