Geometry Friends Agents;;;;;;;;
World: ;Circle2022.1;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum Score;Porcentaje optimo
1;10;5;5;20;120;2333;2417;97
2;10;2;2;8,4;120;1530;1550;99
3;10;4;4;15,4;120;2071;2092;99
4;10;2;2;16,6;120;1461;1492;98
5;10;2;2;11,7;120;1502;1550;97
6;10;4;4;16,5;120;2062;2100;98
7;10;5;5;41,2;120;2157;2342;92
8;10;5;5;19,7;120;2335;2367;99
9;10;5;5;31;120;2241;2283;98
10;10;1,6;3;108,7;120;574;1750;33
;;;;;;18266;;
