Geometry Friends Agents;;;;;;;;
World: ;Circle2022.1;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum Score;Porcentaje optimo
1;10;4,1;5;95,2;120;1437;2417;59
2;10;2;2;14;120;1483;1550;96
3;10;3,4;4;36,5;120;1716;2092;82
4;10;1,4;2;101,6;120;573;1492;38
5;10;0,1;2;120;120;30;1550;2
6;10;4;4;21,8;120;2018;2100;96
7;10;4,7;5;61,2;120;1900;2342;81
8;10;4,5;5;85,1;120;1641;2367;69
9;10;5;5;43,5;120;2138;2283;94
10;10;1,1;3;120;120;330;1750;19
;;;;;;13266;;
