Geometry Friends Agents;;;;;;;;
World: ;Cooperative2022.1;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;optimo;Porcentaje optimo
1;10;1;1;31,3;120;1039;1233;84
2;10;4,9;5;48,2;120;2068;2367;87
3;10;0;1;120;120;0;1250;0
4;10;3;3;38,8;120;1577;1867;84
5;10;1,3;2;84;120;690;1525;45
6;10;2;2;25,4;120;1389;1517;92
7;10;3;3;37,9;120;1584;1758;90
8;10;8;8;30,6;120;3145;3283;96
9;10;4;4;13,6;120;2086;2150;97
10;10;1;1;14,2;120;1182;1250;95
;;;;;;14760;;
