Geometry Friends Agents;;;;;;;;
World: ;Rectangle2022.2;;;;;;;
level;runs;collectibles average;collectibles available;time average;time limit;score average;Optimum score;Porcentaje optimo
1;10;2;2;5,3;120;1556;1567;99
2;10;3;3;41,5;120;1554;1800;86
3;10;2;2;8,3;120;1530;1558;98
4;10;3;4;120;120;900;2142;42
5;10;2;2;12,6;120;1495;1558;96
6;10;5;5;46,6;120;2111;2358;90
7;10;1;1;2,2;60;1263;1283;98
8;10;2;2;6,7;120;1545;1567;99
9;10;5,2;6;53,6;120;2113;2675;79
10;10;1;1;3,7;60;1239;1250;99
;;;;;;15306;;
